latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;energy_reverse_Wh_A;direction_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B;energy_reverse_Wh_B;direction_B
25,618982;-100,29505;22/4/2026 12:29;22;4;2026;12;29;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 12:30:26,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,618982;-100,29505;22/4/2026 12:30;22;4;2026;12;30;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 12:38:54,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,618982;-100,29505;22/4/2026 12:38;22;4;2026;12;38;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 14:26:51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,618982;-100,29505;22/4/2026 14:26;22;4;2026;14;26;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 14:35:17,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,618982;-100,29505;22/4/2026 14:35;22;4;2026;14;35;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 14:38:08,0.0,0.0,0.0,0.0,0.0,0.0,0,0
25,618982;-100,29505;22/4/2026 14:38;22;4;2026;14;38;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-04-22 14:48:39,134.1,8.235,970.0,133.7,9.156,981.0,162976,190550
25,618982;-100,29505;22/4/2026 14:48;22;4;2026;14;48;134,8;8,287;965,1;0,86;58,82;5153;4377;REVERSE;134,8;9,204;1046;0,84;58,82;4693;3431;FORWARD
25,618982;-100,29505;22/4/2026 15:06;22;4;2026;15;6;134,1;4,611;506,2;0,81;58,81;5153;4398;REVERSE;134,1;4,896;520,6;0,79;58,81;4716;3431;FORWARD
25,618982;-100,29505;22/4/2026 15:19;22;4;2026;15;19;133,9;3,231;316,2;0,72;58,84;5153;4407;REVERSE;133,9;3,981;403;0,75;58,84;4727;3431;FORWARD
25,618982;-100,29505;22/4/2026 15:32;22;4;2026;15;32;133,7;2,855;267,3;0,69;58,82;5153;4416;REVERSE;133,7;3,412;332,4;0,72;58,82;4738;3431;FORWARD
25,618982;-100,29505;22/4/2026 16:26;22;4;2026;16;26;134,2;3,159;317,4;0,74;58,84;5153;4475;REVERSE;134,2;3,465;317,9;0,68;58,84;4800;3431;FORWARD
25,618982;-100,29505;22/4/2026 17:25;22;4;2026;17;25;133,9;1,806;110;0,45;58,78;5153;4500;REVERSE;133,9;2,065;160,7;0,58;58,78;4826;3431;FORWARD
25,618982;-100,29505;22/4/2026 18:08;22;4;2026;18;8;133,5;1,411;65,2;0,34;58,81;5154;4504;FORWARD;133,5;1,12;5,8;0,03;58,81;4833;3431;REVERSE
25,618982;-100,29505;22/4/2026 21:45;22;4;2026;21;45;134,8;3,347;355,4;0,78;58,82;5257;4504;FORWARD;134,8;1,833;163,6;0,66;58,82;4833;3480;REVERSE
25,618982;-100,29505;22/4/2026 23:55;22;4;2026;23;55;135,6;4,249;115,1;0,19;58,81;5302;4511;REVERSE;135,6;1,86;148,2;0,58;58,81;4833;3521;REVERSE
25,618982;-100,29505;23/4/2026 1:50;23;4;2026;1;50;135,6;2,03;201,8;0,73;58,79;5325;4519;FORWARD;135,6;1,821;141;0,57;58,79;4833;3547;REVERSE
25,618982;-100,29505;23/4/2026 3:15;23;4;2026;3;15;135,7;2,262;223,7;0,72;58,81;5361;4519;FORWARD;135,7;1,82;141,2;0,57;58,81;4833;3567;REVERSE
25,618982;-100,29505;23/4/2026 4:50;23;4;2026;4;50;135,9;2,136;225,5;0,77;58,79;5395;4519;FORWARD;135,9;1,819;140,4;0,56;58,79;4833;3589;REVERSE
25,618982;-100,29505;23/4/2026 5:50;23;4;2026;5;50;135,3;2,146;210;0,72;58,81;5414;4519;FORWARD;135,3;1,819;140,7;0,57;58,81;4833;3604;REVERSE
25,618982;-100,29505;23/4/2026 6:51;23;4;2026;6;51;135,4;1,917;151,2;0,58;58,84;5432;4519;FORWARD;135,4;1,278;69,6;0,4;58,84;4833;3618;REVERSE
25,618982;-100,29505;23/4/2026 9:04;23;4;2026;9;4;134,4;1,787;38,5;0,16;58,81;5438;4530;REVERSE;134,4;1,788;127,5;0,53;58,81;4854;3628;FORWARD
