timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_reverse_Wh,direction
2026-04-22 12:29:25,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 12:30:26,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 12:38:54,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 14:26:51,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 14:35:17,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 14:38:08,0.0,0.0,0.0,0.0,0.0,0,0,
2026-04-22 14:48:39,134.8,8.287,965.1,0.86,58.82,5153,4377,REVERSE
2026-04-22 15:06:44,134.1,4.611,506.2,0.81,58.81,5153,4398,REVERSE
2026-04-22 15:19:38,133.9,3.231,316.2,0.72,58.84,5153,4407,REVERSE
2026-04-22 15:32:14,133.7,2.855,267.3,0.69,58.82,5153,4416,REVERSE
2026-04-22 16:26:03,134.2,3.159,317.4,0.74,58.84,5153,4475,REVERSE
2026-04-22 17:25:05,133.9,1.806,110.0,0.45,58.78,5153,4500,REVERSE
2026-04-22 18:08:41,133.5,1.411,65.2,0.34,58.81,5154,4504,FORWARD
2026-04-22 21:45:20,134.8,3.347,355.4,0.78,58.82,5257,4504,FORWARD
2026-04-22 23:55:53,135.6,4.249,115.1,0.19,58.81,5302,4511,REVERSE
2026-04-23 01:50:10,135.6,2.03,201.8,0.73,58.79,5325,4519,FORWARD
2026-04-23 03:15:56,135.7,2.262,223.7,0.72,58.81,5361,4519,FORWARD
2026-04-23 04:50:43,135.9,2.136,225.5,0.77,58.79,5395,4519,FORWARD
2026-04-23 05:50:26,135.3,2.146,210.0,0.72,58.81,5414,4519,FORWARD
2026-04-23 06:51:45,135.4,1.917,151.2,0.58,58.84,5432,4519,FORWARD
2026-04-23 09:04:38,134.4,1.787,38.5,0.16,58.81,5438,4530,REVERSE
2026-04-23 10:51:34,134.0,2.149,136.1,0.47,58.85,5438,4555,REVERSE
2026-04-23 12:01:24,133.9,3.752,387.2,0.76,58.81,5438,4580,REVERSE
2026-04-23 13:36:57,134.7,11.197,1315.2,0.87,58.81,5438,4754,REVERSE
2026-04-23 14:36:06,133.5,3.182,314.1,0.73,58.84,5438,4875,REVERSE
2026-04-23 15:27:03,133.9,7.725,903.1,0.87,58.84,5438,4922,REVERSE
2026-04-23 16:08:52,133.1,5.447,612.3,0.84,58.79,5438,4984,REVERSE
2026-04-23 17:05:33,132.6,7.296,37.9,0.03,58.85,5438,5037,REVERSE
2026-04-23 17:59:10,133.4,6.584,93.8,0.1,58.84,5441,5055,REVERSE
2026-04-23 21:35:47,135.1,3.787,437.7,0.85,58.84,5527,5059,FORWARD
2026-04-23 23:56:53,135.3,2.752,337.5,0.9,58.82,5605,5059,FORWARD
2026-04-24 02:05:55,135.9,4.034,498.2,0.9,58.79,5678,5059,FORWARD
2026-04-24 03:54:14,135.8,2.954,356.8,0.88,58.82,5747,5059,FORWARD
2026-04-24 05:01:31,135.9,2.716,338.2,0.91,58.84,5788,5059,FORWARD
