timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-22 12:29:25,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 12:30:26,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 12:38:54,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 14:26:51,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 14:35:17,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 14:38:08,0.0,0.0,0.0,0.0,0.0,0
2026-04-22 14:48:39,132.4,0.05,4.8,0.73,59.16,23279
2026-04-22 15:06:44,133.1,0.043,4.4,0.75,59.18,23279
2026-04-22 15:19:38,134.0,0.045,4.5,0.75,59.16,23279
2026-04-22 15:32:14,132.4,0.043,4.3,0.74,59.18,23279
2026-04-22 16:26:03,131.4,0.043,4.2,0.75,59.18,23279
2026-04-22 17:25:05,131.9,0.044,4.3,0.73,59.12,23280
2026-04-22 18:08:41,131.0,0.043,4.2,0.74,59.15,23280
2026-04-22 21:45:20,132.6,0.044,4.3,0.73,59.16,23282
2026-04-22 23:55:53,128.6,0.044,4.1,0.73,59.13,23283
2026-04-23 01:50:10,133.6,0.043,4.2,0.73,59.13,23284
2026-04-23 03:15:56,133.7,0.046,4.6,0.74,59.15,23284
2026-04-23 04:50:43,134.7,0.043,4.3,0.73,59.16,23285
