latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,648629;-100,279387;22/4/2026 12:29;22;4;2026;12;29;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 12:30;22;4;2026;12;30;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 12:38;22;4;2026;12;38;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 14:26;22;4;2026;14;26;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 14:35;22;4;2026;14;35;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 14:38;22;4;2026;14;38;0;0;0;0;0;0;0;0;0;0;0;0
25,648629;-100,279387;22/4/2026 14:48;22;4;2026;14;48;123,5;2,55;128;0,4;59,16;38646;122,4;2,3;217;0,76;58,93;52951
25,648629;-100,279387;22/4/2026 15:06;22;4;2026;15;6;123,4;2,57;129;0,4;59,18;38647;122,9;2,31;216;0,76;58,93;52953
25,648629;-100,279387;22/4/2026 15:19;22;4;2026;15;19;122,9;2,58;130;0,41;59,18;38647;123,2;2,32;219;0,76;58,95;52954
25,648629;-100,279387;22/4/2026 15:32;22;4;2026;15;32;122,7;2,58;128;0,4;59,18;38647;122,8;10,67;1251;0,95;58,95;52956
25,648629;-100,279387;22/4/2026 16:26;22;4;2026;16;26;123;2,65;138;0,42;59,18;38648;122,8;10,75;1257;0,94;58,96;52962
25,648629;-100,279387;22/4/2026 17:25;22;4;2026;17;25;123,1;2,54;129;0,41;59,16;38650;122,3;10,75;1249;0,94;58,92;52968
25,648629;-100,279387;22/4/2026 18:08;22;4;2026;18;8;122,6;2,53;128;0,41;59,13;38651;121,8;2,28;214;0,76;58,92;52972
25,648629;-100,279387;22/4/2026 21:45;22;4;2026;21;45;125,1;2,59;134;0,41;59,18;38655;123;6,04;500;0,67;58,95;52998
25,648629;-100,279387;22/4/2026 23:55;22;4;2026;23;55;125,2;3,05;197;0,51;59,15;38659;124,4;10,77;1269;0,94;58,93;53013
25,648629;-100,279387;23/4/2026 1:50;23;4;2026;1;50;124,9;2,47;129;0,41;59,18;38662;125,3;2,37;220;0,73;58,93;53026
25,648629;-100,279387;23/4/2026 3:15;23;4;2026;3;15;125,9;2,83;167;0,46;59,16;38665;124,6;11,15;1321;0,94;58,93;53041
25,648629;-100,279387;23/4/2026 4:50;23;4;2026;4;50;126;2,45;130;0,42;59,18;38668;125,2;2,34;220;0,74;58,95;53054
25,648629;-100,279387;23/4/2026 5:50;23;4;2026;5;50;125,4;2,71;148;0,43;59,18;38669;124,3;10,91;1283;0,94;58,95;53061
25,648629;-100,279387;23/4/2026 6:51;23;4;2026;6;51;124,6;2,56;129;0,4;59,2;38671;123,9;11,65;1385;0,95;58,96;53069
25,648629;-100,279387;23/4/2026 9:04;23;4;2026;9;4;123,8;3,27;177;0,43;59,21;38674;122,6;10,69;1249;0,95;58,95;53086
25,648629;-100,279387;23/4/2026 10:51;23;4;2026;10;51;123,6;2,57;127;0,4;59,21;38676;121,9;10,66;1240;0,95;58,98;53098
25,648629;-100,279387;23/4/2026 12:01;23;4;2026;12;1;123;3,26;175;0,43;59,18;38678;122,4;2,3;215;0,76;58,93;53105
25,648629;-100,279387;23/4/2026 13:36;23;4;2026;13;36;123,6;2,56;129;0,4;59,15;38680;122,4;2,29;215;0,76;58,93;53117
