timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-22 12:29:25,0.0,0.0,0,0.0,0.0,0
2026-04-22 12:30:26,0.0,0.0,0,0.0,0.0,0
2026-04-22 12:38:54,0.0,0.0,0,0.0,0.0,0
2026-04-22 14:26:51,0.0,0.0,0,0.0,0.0,0
2026-04-22 14:35:17,0.0,0.0,0,0.0,0.0,0
2026-04-22 14:38:08,0.0,0.0,0,0.0,0.0,0
2026-04-22 14:48:39,122.4,2.3,217,0.76,58.93,52951
2026-04-22 15:06:44,122.9,2.31,216,0.76,58.93,52953
2026-04-22 15:19:38,123.2,2.32,219,0.76,58.95,52954
2026-04-22 15:32:14,122.8,10.67,1251,0.95,58.95,52956
2026-04-22 16:26:03,122.8,10.75,1257,0.94,58.96,52962
2026-04-22 17:25:05,122.3,10.75,1249,0.94,58.92,52968
2026-04-22 18:08:41,121.8,2.28,214,0.76,58.92,52972
2026-04-22 21:45:20,123.0,6.04,500,0.67,58.95,52998
2026-04-22 23:55:53,124.4,10.77,1269,0.94,58.93,53013
2026-04-23 01:50:10,125.3,2.37,220,0.73,58.93,53026
2026-04-23 03:15:56,124.6,11.15,1321,0.94,58.93,53041
2026-04-23 04:50:43,125.2,2.34,220,0.74,58.95,53054
2026-04-23 05:50:26,124.3,10.91,1283,0.94,58.95,53061
2026-04-23 06:51:45,123.9,11.65,1385,0.95,58.96,53069
2026-04-23 09:04:38,122.6,10.69,1249,0.95,58.95,53086
2026-04-23 10:51:34,121.9,10.66,1240,0.95,58.98,53098
2026-04-23 12:01:24,122.4,2.3,215,0.76,58.93,53105
2026-04-23 13:36:57,122.4,2.29,215,0.76,58.93,53117
2026-04-23 14:36:06,120.8,2.25,209,0.76,58.95,53123
2026-04-23 15:27:03,121.1,2.27,210,0.76,58.96,53129
