latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B;voltage_V_C;current_A_C;power_W_C;pf_C;freq_Hz_C;energy_Wh_C;energy_reverse_Wh_C;direction_C;voltage_V_D;current_A_D;power_W_D;pf_D;freq_Hz_D;energy_Wh_D;energy_reverse_Wh_D;direction_D
25,651085;-100,293008;12/5/2026 14:40;12;5;2026;14;40;129,1;13,72;1132,7;0,63;58,85;159790;0;12,644;1608,6;0,98;58,85;116430;132,4;6,835;658,1;0,72;58,82;22866;13548;REVERSE;132,4;6,511;706,2;0,81;58,82;15118;18141;FORWARD
25,651085;-100,293008;12/5/2026 14:46;12;5;2026;14;46;130,3;13,465;1131,3;0,64;58,85;159900;0;3,875;456,3;0,9;58,85;116490;132,3;7,514;963;0,96;58,84;22866;13555;REVERSE;132,3;7,602;840,4;0,83;58,84;15126;18141;FORWARD
25,651085;-100,293008;12/5/2026 16:12;12;5;2026;16;12;128,7;15,912;1418,5;0,69;58,87;161750;0;14,334;1813,1;0,98;58,87;117620;132,4;1,093;65,5;0,45;58,85;22866;13655;REVERSE;132,4;3,527;327,7;0,7;58,85;15216;18141;FORWARD
25,651085;-100,293008;12/5/2026 17:31;12;5;2026;17;31;131,2;7,646;593,9;0,59;58,87;162790;0;0,618;58,6;0,72;58,87;118000;131,6;11,869;1016,2;0,64;58,85;22885;13668;FORWARD;131,6;10,534;1275,6;0,93;58,85;15238;18162;REVERSE
25,651085;-100,293008;12/5/2026 19:26;12;5;2026;19;26;131,4;7,014;544,7;0,59;58,84;163880;0;7,341;963,5;0,99;58,84;118250;133,6;8,66;941,3;0,81;58,81;23123;13668;FORWARD;133,6;5,152;661,8;0,96;58,81;15238;18376;REVERSE
25,651085;-100,293008;12/5/2026 23:33;12;5;2026;23;33;132,3;0,791;64,5;0,61;58,84;164350;0;0,615;59,3;0,72;58,84;118830;134,5;2,924;318;0,8;58,81;23405;13668;FORWARD;134,5;2,39;221,3;0,68;58,81;15238;18528;REVERSE
25,651085;-100,293008;13/5/2026 2:21;13;5;2026;2;21;133,2;0,76;62,5;0,61;58,87;164530;0;1,932;195,7;0,75;58,87;119200;135,3;3,498;390,2;0,82;58,81;23519;13668;FORWARD;135,3;2,035;203,3;0,73;58,81;15238;18594;REVERSE
25,651085;-100,293008;13/5/2026 5:14;13;5;2026;5;14;134,3;0,769;64,1;0,62;58,81;164710;0;0,595;58,4;0,72;58,81;119570;135,9;2,58;314,4;0,89;58,73;23630;13668;FORWARD;135,9;1,989;199,6;0,73;58,73;15238;18652;REVERSE
25,651085;-100,293008;13/5/2026 7:32;13;5;2026;7;32;132,7;10,813;921,5;0,64;58,85;166000;0;2,998;354,6;0,88;58,85;120490;134,6;2,863;148,8;0,38;58,84;23708;13668;FORWARD;134,6;1,635;97,8;0,44;58,84;15239;18681;FORWARD
25,651085;-100,293008;13/5/2026 10:08;13;5;2026;10;8;129,6;14,783;1353,5;0,7;58,84;168620;0;15,407;1832,4;0,91;58,84;122260;133,8;2,773;126,1;0,33;58,82;23728;13687;REVERSE;133,8;4,525;465,3;0,76;58,82;15320;18694;FORWARD
25,651085;-100,293008;13/5/2026 12:19;13;5;2026;12;19;130;11,389;979,5;0,66;58,87;171000;0;11,878;1519;0,98;58,87;123860;134;4,289;461,8;0,8;58,84;23732;13772;REVERSE;134;6,864;707,1;0,76;58,84;15465;18695;FORWARD
25,651085;-100,293008;13/5/2026 14:15;13;5;2026;14;15;130;10,921;946,7;0,66;58,81;172930;0;4,017;469,1;0,89;58,81;125030;132,9;2,924;281,3;0,72;58,81;23734;13892;REVERSE;132,9;4,839;407,4;0,63;58,81;15603;18708;FORWARD
25,651085;-100,293008;13/5/2026 15:48;13;5;2026;15;48;128,9;16,08;1527,2;0,73;58,85;174550;0;8,756;994,1;0,87;58,85;126230;132,2;4,94;574,4;0,87;58,85;23734;13933;REVERSE;132,2;7,888;830,9;0,79;58,85;15664;18708;FORWARD
25,651085;-100,293008;13/5/2026 17:05;13;5;2026;17;5;128,3;11,621;1013,2;0,67;58,82;175920;0;4,356;496,9;0,88;58,82;127080;131,1;5,334;528;0,75;58,81;23749;13974;FORWARD;131,1;2,864;355,2;0,94;58,81;15736;18717;REVERSE
25,651085;-100,293008;13/5/2026 18:18;13;5;2026;18;18;130,1;8,282;630,6;0,58;58,88;176840;0;1,474;149;0,77;58,88;127610;132,4;3,182;274,2;0,64;58,85;23763;13982;FORWARD;132,4;1,331;84,8;0,48;58,85;15749;18725;REVERSE
25,651085;-100,293008;13/5/2026 22:17;13;5;2026;22;17;132;0,146;13,2;0,68;58,84;178550;0;0,592;56,4;0,72;58,84;128590;134,8;7,426;832,2;0,83;58,81;24050;13982;FORWARD;134,8;4,573;601,2;0,97;58,81;15749;18900;REVERSE
25,651085;-100,293008;14/5/2026 1:26;14;5;2026;1;26;132,5;0,138;12,5;0,68;58,81;178600;0;1,907;191;0,75;58,81;129140;135;3,719;419,1;0,83;58,78;24293;13982;FORWARD;135;2,095;257,2;0,9;58,78;15749;19075;REVERSE
25,651085;-100,293008;14/5/2026 3:57;14;5;2026;3;57;133,4;0,139;12,8;0,68;58,82;178630;0;1,924;194;0,75;58,82;129570;135,4;6,179;741,7;0,88;58,81;24380;13982;FORWARD;135,4;4,142;544,7;0,97;58,81;15749;19128;REVERSE
25,651085;-100,293008;14/5/2026 5:57;14;5;2026;5;57;133,5;0,138;12,8;0,69;58,82;178660;0;1,899;165,5;0,65;58,82;129910;135,6;5,306;617,8;0,85;58,76;24509;13982;FORWARD;135,6;3,11;400,1;0,94;58,76;15749;19215;REVERSE
25,651085;-100,293008;14/5/2026 8:30;14;5;2026;8;30;132,4;15,851;1559,2;0,74;58,81;181620;0;9,13;1096,7;0,9;58,81;132050;135,1;3,247;313,8;0,71;58,76;24591;13995;REVERSE;135,1;4,378;457,4;0,77;58,76;15775;19272;FORWARD
25,651085;-100,293008;14/5/2026 10:31;14;5;2026;10;31;131,1;16,077;1428,6;0,67;58,82;184710;0;6,713;783,9;0,88;58,82;134330;134,1;9,039;1040,1;0,85;58,81;24591;14131;REVERSE;134,1;9,643;1097,9;0,84;58,81;15936;19272;FORWARD
25,651085;-100,293008;14/5/2026 12:21;14;5;2026;12;21;131;12,576;1101,2;0,66;58,84;187740;0;5,962;692;0,88;58,84;136490;134,3;10,49;1205,2;0,85;58,84;24591;14331;REVERSE;134,3;11,651;1312,9;0,83;58,84;16153;19272;FORWARD
25,651085;-100,293008;14/5/2026 14:18;14;5;2026;14;18;129,1;19,793;1763,6;0,68;58,85;190590;0;10,869;1173,8;0,83;58,85;138480;132,7;9,561;1100,8;0,86;58,85;24591;14571;REVERSE;132,7;10,855;1225,4;0,85;58,85;16413;19272;FORWARD
25,651085;-100,293008;14/5/2026 15:40;14;5;2026;15;40;128,8;15,47;1418,6;0,71;58,85;192350;0;8,79;970,2;0,85;58,85;139600;132;7,025;786,5;0,84;58,84;24591;14698;REVERSE;132;8,433;929;0,83;58,84;16558;19272;FORWARD
25,651085;-100,293008;14/5/2026 16:57;14;5;2026;16;57;129,6;12,243;1045,9;0,65;58,84;193920;0;3,851;439,9;0,88;58,84;140600;131,8;6,279;673;0,81;58,82;24591;14776;REVERSE;131,8;5,743;611,2;0,8;58,82;16644;19272;FORWARD
25,651085;-100,293008;14/5/2026 18:01;14;5;2026;18;1;130,2;14,206;1318,9;0,71;58,87;195250;0;6,809;784,4;0,88;58,87;141410;132,1;4,922;197,4;0,3;58,84;24595;14798;REVERSE;132,1;1,586;71,4;0,34;58,84;16668;19272;FORWARD
25,651085;-100,293008;14/5/2026 22:31;14;5;2026;22;31;130,8;6,291;696,6;0,84;58,84;201150;0;5,995;689,3;0,87;58,84;145400;134,3;7,608;900,6;0,87;58,81;25029;14805;FORWARD;134,3;5,83;767,9;0,98;58,81;16670;19633;REVERSE
