timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-12 14:40:49,0.0,12.644,1608.6,0.98,58.85,116430,116.43
2026-05-12 14:46:00,0.0,3.875,456.3,0.9,58.85,116490,116.49
2026-05-12 16:12:42,0.0,14.334,1813.1,0.98,58.87,117620,117.62
2026-05-12 17:31:51,0.0,0.618,58.6,0.72,58.87,118000,118.0
2026-05-12 19:26:05,0.0,7.341,963.5,0.99,58.84,118250,118.25
2026-05-12 23:33:28,0.0,0.615,59.3,0.72,58.84,118830,118.83
2026-05-13 02:21:54,0.0,1.932,195.7,0.75,58.87,119200,119.2
2026-05-13 05:14:20,0.0,0.595,58.4,0.72,58.81,119570,119.57
2026-05-13 07:32:41,0.0,2.998,354.6,0.88,58.85,120490,120.49
2026-05-13 10:08:54,0.0,15.407,1832.4,0.91,58.84,122260,122.26
2026-05-13 12:19:55,0.0,11.878,1519.0,0.98,58.87,123860,123.86
