timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_reverse_Wh,direction
2026-05-12 14:40:49,132.4,6.511,706.2,0.81,58.82,15118,18141,FORWARD
2026-05-12 14:46:00,132.3,7.602,840.4,0.83,58.84,15126,18141,FORWARD
2026-05-12 16:12:42,132.4,3.527,327.7,0.7,58.85,15216,18141,FORWARD
2026-05-12 17:31:51,131.6,10.534,1275.6,0.93,58.85,15238,18162,REVERSE
2026-05-12 19:26:05,133.6,5.152,661.8,0.96,58.81,15238,18376,REVERSE
2026-05-12 23:33:28,134.5,2.39,221.3,0.68,58.81,15238,18528,REVERSE
2026-05-13 02:21:54,135.3,2.035,203.3,0.73,58.81,15238,18594,REVERSE
2026-05-13 05:14:20,135.9,1.989,199.6,0.73,58.73,15238,18652,REVERSE
2026-05-13 07:32:41,134.6,1.635,97.8,0.44,58.84,15239,18681,FORWARD
2026-05-13 10:08:54,133.8,4.525,465.3,0.76,58.82,15320,18694,FORWARD
2026-05-13 12:19:55,134.0,6.864,707.1,0.76,58.84,15465,18695,FORWARD
2026-05-13 14:15:32,132.9,4.839,407.4,0.63,58.81,15603,18708,FORWARD
2026-05-13 15:48:16,132.2,7.888,830.9,0.79,58.85,15664,18708,FORWARD
2026-05-13 17:05:45,131.1,2.864,355.2,0.94,58.81,15736,18717,REVERSE
2026-05-13 18:18:29,132.4,1.331,84.8,0.48,58.85,15749,18725,REVERSE
2026-05-13 22:17:22,134.8,4.573,601.2,0.97,58.81,15749,18900,REVERSE
2026-05-14 01:26:17,135.0,2.095,257.2,0.9,58.78,15749,19075,REVERSE
2026-05-14 03:57:53,135.4,4.142,544.7,0.97,58.81,15749,19128,REVERSE
2026-05-14 05:57:43,135.6,3.11,400.1,0.94,58.76,15749,19215,REVERSE
2026-05-14 08:30:38,135.1,4.378,457.4,0.77,58.76,15775,19272,FORWARD
2026-05-14 10:31:57,134.1,9.643,1097.9,0.84,58.81,15936,19272,FORWARD
2026-05-14 12:21:41,134.3,11.651,1312.9,0.83,58.84,16153,19272,FORWARD
2026-05-14 14:18:17,132.7,10.855,1225.4,0.85,58.85,16413,19272,FORWARD
2026-05-14 15:40:35,132.0,8.433,929.0,0.83,58.84,16558,19272,FORWARD
2026-05-14 16:57:12,131.8,5.743,611.2,0.8,58.82,16644,19272,FORWARD
2026-05-14 18:01:24,132.1,1.586,71.4,0.34,58.84,16668,19272,FORWARD
2026-05-14 22:31:34,134.3,5.83,767.9,0.98,58.81,16670,19633,REVERSE
2026-05-15 01:44:45,134.7,3.679,471.2,0.95,58.79,16670,19835,REVERSE
2026-05-15 04:24:36,135.2,3.475,447.0,0.95,58.76,16670,19960,REVERSE
2026-05-15 06:22:04,135.2,1.982,200.8,0.74,58.84,16670,20042,REVERSE
2026-05-15 09:04:46,134.3,3.861,300.8,0.58,58.87,16682,20095,FORWARD
2026-05-15 11:03:01,134.5,9.824,1096.3,0.82,58.82,16843,20095,FORWARD
2026-05-15 12:58:49,133.7,11.449,1281.8,0.83,58.82,17077,20095,FORWARD
2026-05-15 14:20:13,133.1,10.706,1206.2,0.84,58.85,17243,20095,FORWARD
2026-05-15 15:31:59,132.5,8.6,922.6,0.8,58.85,17359,20095,FORWARD
2026-05-15 16:49:28,132.4,4.794,450.5,0.7,58.81,17422,20097,FORWARD
2026-05-15 17:07:07,131.5,3.631,463.9,0.97,58.85,17424,20105,REVERSE
2026-05-15 17:34:26,132.0,4.79,613.4,0.97,58.81,17424,20130,REVERSE
2026-05-15 17:35:22,131.9,5.245,668.4,0.96,58.78,17424,20130,REVERSE
2026-05-15 17:42:07,131.7,5.298,675.5,0.96,58.84,17424,20138,REVERSE
2026-05-15 19:22:21,132.8,6.988,892.9,0.96,58.82,17424,20273,REVERSE
2026-05-15 23:00:24,134.2,5.258,683.1,0.96,58.84,17424,20575,REVERSE
2026-05-16 01:22:46,134.9,3.562,473.9,0.98,58.84,17424,20707,REVERSE
2026-05-16 03:15:18,134.8,2.916,377.7,0.96,58.81,17424,20784,REVERSE
2026-05-16 04:40:52,135.6,2.852,369.5,0.95,58.84,17424,20839,REVERSE
2026-05-16 05:51:59,135.8,2.853,369.9,0.95,58.79,17424,20882,REVERSE
2026-05-16 07:23:54,135.3,1.809,222.3,0.9,58.82,17424,20928,REVERSE
2026-05-16 08:42:26,134.2,1.498,128.7,0.64,58.81,17424,20949,REVERSE
2026-05-16 09:58:52,134.8,3.906,332.5,0.63,58.82,17436,20962,FORWARD
2026-05-16 11:09:03,134.8,8.188,888.9,0.8,58.82,17512,20962,FORWARD
2026-05-16 12:09:43,135.0,9.109,966.1,0.78,58.82,17604,20962,FORWARD
2026-05-16 13:36:31,134.4,9.418,1041.2,0.82,58.87,17733,20962,FORWARD
2026-05-16 14:26:11,133.2,1.558,59.8,0.28,58.84,17778,20964,REVERSE
2026-05-16 15:31:36,133.4,2.8,159.0,0.42,58.85,17797,20965,FORWARD
2026-05-16 16:27:52,132.6,2.574,320.3,0.93,58.81,17799,20985,REVERSE
2026-05-16 17:33:52,132.6,3.303,428.2,0.97,58.84,17799,21017,REVERSE
2026-05-16 19:29:55,133.7,3.197,417.1,0.97,58.81,17799,21161,REVERSE
2026-05-16 23:33:50,134.6,2.963,385.9,0.96,58.85,17799,21347,REVERSE
2026-05-17 01:59:50,134.9,4.94,660.0,0.98,58.85,17799,21469,REVERSE
2026-05-17 03:56:46,135.1,3.715,476.5,0.94,58.79,17799,21580,REVERSE
2026-05-17 05:12:00,135.4,3.405,435.0,0.94,58.82,17799,21636,REVERSE
2026-05-17 06:08:16,135.8,4.24,568.8,0.98,58.81,17799,21683,REVERSE
2026-05-17 08:00:41,135.6,1.776,40.2,0.16,58.85,17803,21743,FORWARD
2026-05-17 09:31:28,135.8,3.781,365.0,0.71,58.84,17834,21743,FORWARD
2026-05-17 10:36:40,136.0,9.396,1065.4,0.83,58.81,17929,21743,FORWARD
2026-05-17 11:39:47,134.9,3.652,316.9,0.64,58.85,18019,21743,FORWARD
2026-05-17 12:44:02,131.0,21.667,2684.6,0.94,58.81,18030,21893,REVERSE
2026-05-17 14:04:53,130.5,22.899,2717.3,0.9,58.84,18030,22124,REVERSE
2026-05-17 15:10:39,132.9,1.039,39.2,0.28,58.82,18030,22307,REVERSE
2026-05-17 16:11:00,133.0,1.061,34.6,0.24,58.82,18043,22308,REVERSE
2026-05-17 17:14:17,132.9,3.092,392.4,0.95,58.81,18043,22374,REVERSE
2026-05-17 18:13:46,132.4,2.512,325.5,0.97,58.82,18043,22405,REVERSE
2026-05-17 22:45:58,134.0,3.206,315.5,0.73,58.81,18043,22834,REVERSE
2026-05-18 02:45:15,135.0,1.836,139.3,0.56,58.85,18043,22895,REVERSE
2026-05-18 06:32:20,134.4,2.574,339.1,0.97,58.81,18043,23037,REVERSE
2026-05-18 10:06:02,132.1,2.987,250.9,0.63,58.79,18165,23079,FORWARD
2026-05-18 10:33:13,132.2,3.544,347.6,0.74,58.81,18198,23079,FORWARD
2026-05-18 12:14:38,132.6,11.899,1353.8,0.85,58.82,18373,23079,FORWARD
2026-05-18 14:05:10,131.0,1.824,125.2,0.52,58.84,18495,23079,FORWARD
2026-05-18 15:41:22,131.6,1.74,115.3,0.5,58.87,18538,23079,FORWARD
2026-05-18 17:02:36,131.1,6.363,800.2,0.95,58.84,18541,23156,REVERSE
2026-05-18 19:25:58,132.3,4.795,627.9,0.98,58.79,18541,23303,REVERSE
2026-05-18 23:49:10,133.9,2.465,302.8,0.91,58.85,18541,23536,REVERSE
2026-05-19 03:44:04,135.4,3.386,429.6,0.93,58.81,18541,23727,REVERSE
2026-05-19 06:39:49,134.1,2.522,330.2,0.97,58.81,18541,23847,REVERSE
2026-05-19 09:00:51,132.8,1.086,28.4,0.19,58.84,18541,23961,REVERSE
2026-05-19 09:27:18,133.0,1.306,16.6,0.09,58.79,18541,23963,FORWARD
2026-05-19 10:03:17,133.0,2.73,256.9,0.7,58.82,18545,23963,FORWARD
2026-05-19 12:17:56,132.9,3.417,333.5,0.73,58.79,18593,23963,FORWARD
2026-05-19 14:08:34,132.7,2.013,212.5,0.79,58.79,18633,23969,REVERSE
2026-05-19 15:48:56,132.5,1.994,147.1,0.55,58.84,18664,24004,REVERSE
2026-05-19 17:02:39,132.5,2.485,306.7,0.93,58.81,18665,24033,REVERSE
2026-05-19 19:27:10,134.0,9.019,1167.4,0.96,58.87,18665,24216,REVERSE
2026-05-19 23:50:19,133.9,4.34,573.0,0.98,58.81,18665,24591,REVERSE
2026-05-20 03:35:35,135.1,2.59,327.1,0.93,58.79,18665,24721,REVERSE
2026-05-20 06:10:37,135.2,1.724,140.5,0.6,58.79,18665,24809,REVERSE
2026-05-20 10:00:31,134.3,8.698,974.5,0.83,58.82,18766,24856,FORWARD
2026-05-20 12:28:08,133.5,6.685,715.2,0.8,58.81,18915,24856,FORWARD
2026-05-20 14:38:23,132.8,1.261,49.8,0.29,58.81,19007,24858,REVERSE
2026-05-20 16:15:14,133.4,1.362,9.8,0.05,58.79,19022,24863,REVERSE
2026-05-20 17:42:12,133.8,1.307,109.0,0.62,58.78,19022,24876,REVERSE
2026-05-20 21:45:42,135.7,2.144,189.2,0.65,58.79,19022,25068,REVERSE
2026-05-21 01:54:38,135.8,1.817,140.2,0.56,58.78,19022,25140,REVERSE
2026-05-21 05:26:48,135.7,2.751,353.8,0.94,58.84,19022,25227,REVERSE
2026-05-21 08:25:39,134.5,1.989,117.0,0.43,58.79,19027,25285,FORWARD
