latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,651742;-100,280182;12/5/2026 14:40;12;5;2026;14;40;133,7;2,362;164,3;0,51;59,15;56710;0;0,101;12;0,89;59,15;6590
25,651742;-100,280182;12/5/2026 14:46;12;5;2026;14;46;132,6;3,478;341,8;0,73;59,13;56720;0;0,1;11,7;0,88;59,13;6590
25,651742;-100,280182;12/5/2026 16:12;12;5;2026;16;12;131,6;2,054;79,9;0,3;59,15;56930;0;0,106;12,4;0,88;59,15;6600
25,651742;-100,280182;12/5/2026 17:31;12;5;2026;17;31;132;1,637;121,9;0,56;59,15;57120;0;0,103;12,1;0,89;59,15;6620
25,651742;-100,280182;12/5/2026 19:26;12;5;2026;19;26;131,7;1,084;27,5;0,19;59,09;57320;0;0,105;11,9;0,88;59,09;6640
25,651742;-100,280182;12/5/2026 23:33;12;5;2026;23;33;132,6;4,024;255,6;0,47;59,09;58290;0;0,101;11,9;0,89;59,09;6710
25,651742;-100,280182;13/5/2026 2:21;13;5;2026;2;21;132,8;2,749;132;0,36;59,12;58950;0;0,052;3,8;0,55;59,12;6720
25,651742;-100,280182;13/5/2026 5:14;13;5;2026;5;14;134,4;2,646;131,7;0,36;59,06;59510;0;0,052;3,9;0,56;59,06;6730
25,651742;-100,280182;13/5/2026 7:32;13;5;2026;7;32;133,2;1,013;29;0,21;59,12;59970;0;0,1;11,9;0,88;59,12;6770
25,651742;-100,280182;13/5/2026 10:08;13;5;2026;10;8;135,4;1,605;54,1;0,24;59,09;60290;0;0,099;11,9;0,88;59,09;6810
25,651742;-100,280182;13/5/2026 12:19;13;5;2026;12;19;135,2;1,344;169,7;0,93;59,15;60530;0;0,051;3,9;0,56;59,15;6840
25,651742;-100,280182;13/5/2026 14:15;13;5;2026;14;15;133,7;2,565;250,8;0,73;59,09;60690;0;0,25;27,4;0,82;59,09;6860
25,651742;-100,280182;13/5/2026 15:48;13;5;2026;15;48;134,1;2,664;222;0,62;59,15;60990;0;0,1;12;0,89;59,15;6900
25,651742;-100,280182;13/5/2026 17:05;13;5;2026;17;5;130,3;2,066;70,1;0,26;59,1;61190;0;0,105;12,2;0,88;59,1;6910
25,651742;-100,280182;13/5/2026 18:18;13;5;2026;18;18;130;2,043;130,4;0,49;59,15;61330;0;0,103;12;0,89;59,15;6930
