timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-12 14:40:49,0.0,0.101,12.0,0.89,59.15,6590,6.59
2026-05-12 14:46:00,0.0,0.1,11.7,0.88,59.13,6590,6.59
2026-05-12 16:12:42,0.0,0.106,12.4,0.88,59.15,6600,6.6
2026-05-12 17:31:51,0.0,0.103,12.1,0.89,59.15,6620,6.62
2026-05-12 19:26:05,0.0,0.105,11.9,0.88,59.09,6640,6.64
2026-05-12 23:33:28,0.0,0.101,11.9,0.89,59.09,6710,6.71
2026-05-13 02:21:54,0.0,0.052,3.8,0.55,59.12,6720,6.72
2026-05-13 05:14:20,0.0,0.052,3.9,0.56,59.06,6730,6.73
2026-05-13 07:32:41,0.0,0.1,11.9,0.88,59.12,6770,6.77
2026-05-13 10:08:54,0.0,0.099,11.9,0.88,59.09,6810,6.81
2026-05-13 12:19:55,0.0,0.051,3.9,0.56,59.15,6840,6.84
2026-05-13 14:15:32,0.0,0.25,27.4,0.82,59.09,6860,6.86
2026-05-13 15:48:16,0.0,0.1,12.0,0.89,59.15,6900,6.9
2026-05-13 17:05:45,0.0,0.105,12.2,0.88,59.1,6910,6.91
2026-05-13 18:18:29,0.0,0.103,12.0,0.89,59.15,6930,6.93
2026-05-13 22:17:22,0.0,0.099,11.8,0.89,59.1,6980,6.98
2026-05-14 01:26:17,0.0,0.052,3.8,0.55,59.1,7020,7.02
2026-05-14 03:57:53,0.0,0.051,3.7,0.54,59.1,7030,7.03
2026-05-14 05:57:43,0.0,0.051,3.8,0.56,59.07,7050,7.05
2026-05-14 08:30:38,0.0,0.097,11.7,0.88,59.09,7080,7.08
2026-05-14 10:31:57,0.0,0.1,12.0,0.88,59.1,7110,7.11
2026-05-14 12:21:41,0.0,0.1,12.0,0.88,59.12,7130,7.13
2026-05-14 14:18:17,0.0,0.101,12.0,0.89,59.15,7160,7.16
2026-05-14 15:40:35,0.0,0.201,21.8,0.83,59.15,7170,7.17
2026-05-14 16:57:12,0.0,0.103,11.9,0.89,59.12,7200,7.2
2026-05-14 18:01:24,0.0,0.249,26.9,0.83,59.13,7220,7.22
