timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-12 14:40:49,0.0,0.0,0.0,1.0,58.92,40940,40.94
2026-05-12 14:46:00,0.0,0.051,3.0,0.49,58.9,40940,40.94
2026-05-12 16:12:42,0.0,5.524,653.7,0.98,58.92,41010,41.01
2026-05-12 17:31:51,0.0,5.267,623.3,0.98,58.9,41990,41.99
2026-05-12 19:26:05,0.0,5.152,610.7,0.97,58.85,43040,43.04
2026-05-12 23:33:28,0.0,3.48,416.4,0.96,58.87,45640,45.64
2026-05-13 02:21:54,0.0,3.242,393.6,0.97,58.87,46320,46.32
2026-05-13 05:14:20,0.0,0.051,3.8,0.58,58.82,46390,46.39
2026-05-13 07:32:41,0.0,0.05,3.5,0.55,58.88,46400,46.4
2026-05-13 10:08:54,0.0,0.051,3.6,0.58,58.87,46400,46.4
2026-05-13 12:19:55,0.0,0.051,3.5,0.56,58.93,46410,46.41
2026-05-13 14:15:32,0.0,0.0,0.0,1.0,58.85,46410,46.41
2026-05-13 15:48:16,0.0,0.0,0.0,1.0,58.92,46410,46.41
2026-05-13 17:05:45,0.0,0.05,3.3,0.55,58.85,46420,46.42
2026-05-13 18:18:29,0.0,10.588,1264.5,0.99,58.9,47430,47.43
2026-05-13 22:17:22,0.0,7.66,906.6,0.99,58.88,50480,50.48
2026-05-14 01:26:17,0.0,0.133,12.8,0.77,58.85,51500,51.5
2026-05-14 03:57:53,0.0,0.136,13.4,0.78,58.88,52230,52.23
2026-05-14 05:57:43,0.0,0.101,10.9,0.88,58.85,52500,52.5
2026-05-14 08:30:38,0.0,0.05,3.4,0.53,58.85,52500,52.5
2026-05-14 10:31:57,0.0,0.051,3.4,0.54,58.9,52510,52.51
2026-05-14 12:21:41,0.0,0.049,3.3,0.54,58.92,52510,52.51
2026-05-14 14:18:17,0.0,0.053,3.9,0.61,58.9,52510,52.51
2026-05-14 15:40:35,0.0,6.569,760.8,0.98,58.9,52590,52.59
2026-05-14 16:57:12,0.0,6.495,750.3,0.98,58.88,53790,53.79
