latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,voltage_V_C,current_A_C,power_W_C,pf_C,freq_Hz_C,energy_Wh_C,voltage_V_D,current_A_D,power_W_D,pf_D,freq_Hz_D,energy_Wh_D,id_punto
25.657228,-100.291879,2026-05-12 14:40:00,12,5,2026,14,40,120.9,1.108,130.5,0.97,59.09,90030,0,0.628,9.4,0.12,59.09,60710,120.6,3.907,372.2,0.78,59.21,80300,0,0.0,0.0,1.0,59.21,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-12 14:46:00,12,5,2026,14,46,120.8,1.066,125.3,0.97,59.07,90040,0,0.621,8.2,0.1,59.07,60710,120.1,6.266,713.8,0.94,59.21,80330,0,0.0,0.0,1.0,59.21,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-12 16:12:00,12,5,2026,16,12,120.2,1.306,153.6,0.97,59.1,90280,0,0.62,8.8,0.11,59.1,60730,120.3,1.917,142.7,0.61,59.24,80790,0,0.0,0.0,1.0,59.24,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-12 17:31:00,12,5,2026,17,31,120.9,1.223,144.2,0.97,59.1,90470,0,0.633,8.6,0.11,59.1,60750,120.9,1.704,134.4,0.65,59.23,80930,0,0.0,0.0,1.0,59.23,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-12 19:26:00,12,5,2026,19,26,122.8,1.439,171.6,0.96,59.02,90770,0,0.727,26.3,0.29,59.02,60780,122.5,1.792,140.3,0.63,59.18,81210,0,0.0,0.0,1.0,59.18,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-12 23:33:00,12,5,2026,23,33,123.5,2.919,355.7,0.98,59.06,92190,0,2.56,283.5,0.89,59.06,61930,123.1,2.579,267.4,0.84,59.2,82650,0,0.0,0.0,1.0,59.2,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 02:21:00,13,5,2026,2,21,123.2,5.576,662.2,0.96,59.07,93520,0,5.121,579.3,0.91,59.07,63140,123.0,1.876,176.6,0.76,59.2,83250,0,0.0,0.0,1.0,59.2,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 05:14:00,13,5,2026,5,14,125.4,1.286,159.3,0.98,58.99,94320,0,0.866,60.9,0.56,58.99,63660,125.2,1.945,184.5,0.75,59.15,83740,0,0.0,0.0,1.0,59.15,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 07:32:00,13,5,2026,7,32,123.8,1.21,146.4,0.97,59.06,94760,0,0.644,9.2,0.11,59.06,63880,123.5,1.789,134.4,0.6,59.21,84150,0,0.0,0.0,1.0,59.21,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 10:08:00,13,5,2026,10,8,123.4,1.154,138.9,0.97,59.06,95140,0,0.695,20.4,0.23,59.06,63910,123.2,1.975,155.4,0.63,59.2,84540,0,0.0,0.0,1.0,59.2,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 12:19:00,13,5,2026,12,19,123.5,1.361,164.6,0.97,59.13,95490,0,0.698,20.4,0.23,59.13,63950,123.3,1.449,102.1,0.57,59.24,84940,0,0.0,0.0,1.0,59.24,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 14:15:00,13,5,2026,14,15,121.6,1.419,167.4,0.96,59.07,95770,0,0.632,9.1,0.11,59.07,63990,121.6,2.207,179.5,0.66,59.2,85210,0,0.0,0.0,1.0,59.2,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 15:48:00,13,5,2026,15,48,120.1,1.331,154.6,0.96,59.09,96100,0,0.788,43.2,0.45,59.09,64090,120.1,1.23,132.6,0.89,59.23,85470,0,0.0,0.0,1.0,59.23,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 17:05:00,13,5,2026,17,5,119.3,1.319,152.3,0.96,59.07,96290,0,0.626,9.1,0.12,59.07,64130,119.1,1.712,123.4,0.6,59.18,85700,0,0.0,0.0,1.0,59.18,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 18:18:00,13,5,2026,18,18,120.1,2.05,228.9,0.92,59.09,96500,0,0.676,19.0,0.23,59.09,64140,119.8,2.512,227.4,0.75,59.2,85830,0,0.0,0.0,1.0,59.2,0,25.657228_-100.291879
25.657228,-100.291879,2026-05-13 22:17:00,13,5,2026,22,17,121.2,5.113,616.2,0.99,59.09,97510,0,5.269,617.4,0.96,59.09,64780,121.2,5.046,531.7,0.86,59.2,87440,0,0.589,38.3,0.53,59.2,0,25.657228_-100.291879
