timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-12 14:40:49,119.0,10.031,1190.9,0.99,58.99,178510,178.51
2026-05-12 14:46:00,119.6,10.0,1191.1,0.99,58.98,178600,178.6
2026-05-12 16:12:42,118.6,8.938,1058.8,0.99,59.01,180170,180.17
2026-05-12 17:31:51,119.5,4.899,578.1,0.98,58.99,181360,181.36
2026-05-12 19:26:05,119.8,4.772,562.5,0.98,58.96,183040,183.04
2026-05-12 23:33:28,122.0,1.52,162.0,0.87,58.98,186060,186.06
2026-05-13 02:21:54,124.1,1.433,159.9,0.89,58.99,187480,187.48
2026-05-13 05:14:20,125.4,1.429,161.7,0.9,58.95,188250,188.25
2026-05-13 07:32:41,124.2,1.435,159.4,0.89,58.99,189070,189.07
2026-05-13 10:08:54,124.1,4.771,584.7,0.98,58.98,190170,190.17
2026-05-13 12:19:55,125.2,4.886,604.5,0.98,59.01,191250,191.25
2026-05-13 14:15:32,123.3,9.707,1182.4,0.98,58.98,192800,192.8
2026-05-13 15:48:16,121.2,10.219,1233.9,0.99,58.99,194560,194.56
2026-05-13 17:05:45,119.6,15.192,1809.0,0.99,58.96,196190,196.19
2026-05-13 18:18:29,117.5,10.403,1220.3,0.99,58.96,197840,197.84
2026-05-13 22:17:22,121.2,1.095,108.6,0.81,58.98,202090,202.09
2026-05-14 01:26:17,123.6,5.278,642.1,0.98,58.95,203940,203.94
2026-05-14 03:57:53,124.3,5.263,640.7,0.97,58.98,205350,205.35
