latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.648629,-100.279387,2026-04-24 16:14:00,24,4,2026,16,14,120.1,2.91,149,0.42,59.2,39464,118.6,1.03,102,0.82,58.98,54009,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 16:37:00,24,4,2026,16,37,120.4,2.76,135,0.4,59.16,39464,117.8,1.03,100,0.82,58.92,54012,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 16:38:00,24,4,2026,16,38,120.4,2.75,134,0.4,59.2,39464,118.0,1.02,100,0.82,58.98,54012,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 17:23:00,24,4,2026,17,23,119.7,2.81,137,0.4,59.15,39466,119.0,9.89,1104,0.93,58.93,54017,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 17:24:00,24,4,2026,17,24,119.8,2.78,135,0.4,59.15,39466,119.0,9.93,1107,0.93,58.93,54017,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 18:02:00,24,4,2026,18,2,120.2,2.78,135,0.4,59.15,39467,119.1,13.16,1526,0.97,58.93,54024,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 21:27:00,24,4,2026,21,27,121.5,3.33,201,0.49,59.2,39537,121.0,1.01,102,0.83,58.93,54118,25.648629_-100.279387
25.648629,-100.279387,2026-04-24 23:27:00,24,4,2026,23,27,124.2,2.74,134,0.39,59.15,39540,120.5,10.03,1128,0.93,58.92,54133,25.648629_-100.279387
25.648629,-100.279387,2026-04-25 00:51:00,25,4,2026,0,51,124.2,2.84,154,0.43,59.16,39542,121.7,10.64,1240,0.95,58.9,54145,25.648629_-100.279387
25.648629,-100.279387,2026-04-25 01:57:00,25,4,2026,1,57,124.7,2.74,148,0.43,59.21,39544,121.0,10.65,1240,0.96,58.98,54152,25.648629_-100.279387
