timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-24 16:14:02,120.1,2.91,149,0.42,59.2,39464
2026-04-24 16:37:17,120.4,2.76,135,0.4,59.16,39464
2026-04-24 16:38:56,120.4,2.75,134,0.4,59.2,39464
2026-04-24 17:23:32,119.7,2.81,137,0.4,59.15,39466
2026-04-24 17:24:39,119.8,2.78,135,0.4,59.15,39466
2026-04-24 18:02:36,120.2,2.78,135,0.4,59.15,39467
2026-04-24 21:27:44,121.5,3.33,201,0.49,59.2,39537
2026-04-24 23:27:28,124.2,2.74,134,0.39,59.15,39540
2026-04-25 00:51:13,124.2,2.84,154,0.43,59.16,39542
2026-04-25 01:57:20,124.7,2.74,148,0.43,59.21,39544
2026-04-25 02:56:57,124.3,2.8,153,0.44,59.18,39545
2026-04-25 03:54:16,124.6,2.59,134,0.41,59.2,39547
2026-04-25 04:38:07,125.2,2.57,136,0.42,59.21,39548
2026-04-25 05:25:08,125.1,2.67,143,0.42,59.18,39549
2026-04-25 06:00:41,125.4,2.59,138,0.42,59.18,39550
2026-04-25 07:24:48,124.3,2.61,140,0.43,59.21,39552
2026-04-25 08:12:21,124.0,6.22,423,0.54,59.15,39578
2026-04-25 09:02:10,121.4,106.63,10531,0.8,59.18,39608
2026-04-25 09:51:54,122.8,45.02,3391,0.61,59.18,39688
2026-04-25 10:28:00,121.2,84.43,8316,0.81,59.2,39739
2026-04-25 11:10:34,119.3,140.08,11915,0.71,59.23,39802
2026-04-25 11:57:06,120.6,43.03,3081,0.59,59.18,39863
2026-04-25 12:56:07,120.9,42.78,3197,0.61,59.2,39897
2026-04-25 13:43:10,121.1,2.61,135,0.42,59.18,39919
2026-04-25 14:22:15,120.9,2.58,133,0.42,59.18,39920
2026-04-25 15:01:13,120.7,52.4,6158,0.97,59.15,39937
2026-04-25 15:49:19,119.9,52.34,6115,0.97,59.21,39988
2026-04-25 16:21:12,119.9,54.14,6351,0.97,59.2,40018
2026-04-25 17:01:04,119.4,53.4,6234,0.97,59.18,40060
2026-04-25 17:50:05,120.0,4.21,237,0.46,59.23,40102
2026-04-25 19:16:02,121.3,2.74,140,0.42,59.2,40104
2026-04-25 22:33:37,123.1,2.75,141,0.41,59.21,40109
2026-04-26 00:27:11,123.4,2.7,140,0.41,59.16,40112
2026-04-26 02:02:40,124.0,2.88,159,0.44,59.21,40114
2026-04-26 03:11:59,124.2,2.75,143,0.41,59.18,40115
2026-04-26 04:07:07,124.4,2.74,143,0.41,59.16,40117
2026-04-26 05:01:13,124.5,2.74,141,0.41,59.2,40118
2026-04-26 05:49:26,124.7,2.71,139,0.41,59.2,40119
2026-04-26 06:33:52,124.7,2.7,139,0.41,59.2,40121
2026-04-26 07:50:18,123.7,2.68,139,0.41,59.2,40122
2026-04-26 08:34:34,123.7,2.72,139,0.41,59.21,40123
2026-04-26 09:25:37,122.6,2.71,138,0.41,59.2,40124
2026-04-26 10:05:33,124.0,2.71,140,0.41,59.2,40126
2026-04-26 10:59:44,122.8,2.73,138,0.41,59.2,40127
2026-04-26 11:50:33,121.9,2.72,138,0.41,59.18,40128
2026-04-26 12:31:38,121.8,2.74,138,0.41,59.16,40129
2026-04-26 13:31:20,119.2,2.77,141,0.42,59.2,40130
2026-04-26 14:05:40,120.5,2.73,139,0.42,59.21,40131
2026-04-26 14:55:35,120.2,2.74,140,0.42,59.2,40132
2026-04-26 15:36:06,120.2,2.75,140,0.42,59.16,40133
2026-04-26 16:07:18,119.6,2.74,140,0.42,59.21,40134
2026-04-26 16:57:22,120.5,2.76,140,0.42,59.18,40135
2026-04-26 17:41:52,120.0,2.77,140,0.42,59.23,40136
2026-04-26 19:15:25,120.0,2.72,139,0.42,59.13,40152
2026-04-26 22:42:59,120.6,47.91,5608,0.96,59.18,40243
2026-04-27 01:25:30,120.5,45.88,5307,0.95,59.21,40295
2026-04-27 03:37:22,123.0,2.9,153,0.42,59.2,40310
2026-04-27 05:25:38,122.5,2.74,141,0.41,59.21,40313
2026-04-27 07:02:20,122.6,2.91,158,0.44,59.21,40361
2026-04-27 09:14:32,120.7,2.62,133,0.42,59.2,40417
2026-04-27 10:57:39,119.4,2.62,132,0.42,59.18,40420
2026-04-27 12:09:29,118.4,2.93,156,0.45,59.16,40421
2026-04-27 13:48:11,121.2,2.64,132,0.41,59.18,40424
2026-04-27 14:45:36,121.0,2.63,132,0.41,59.18,40425
2026-04-27 15:41:26,120.7,2.62,133,0.42,59.15,40426
2026-04-27 16:33:53,121.1,2.61,132,0.41,59.21,40427
2026-04-27 17:32:29,121.2,2.64,134,0.42,59.2,40428
2026-04-27 19:17:13,120.8,49.13,5737,0.96,59.23,40467
2026-04-27 22:46:08,123.4,6.48,442,0.55,59.18,40601
2026-04-28 01:19:40,122.9,46.24,5405,0.94,59.18,40677
