latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B;voltage_V_C;current_A_C;power_W_C;pf_C;freq_Hz_C;energy_Wh_C;energy_reverse_Wh_C;direction_C;voltage_V_D;current_A_D;power_W_D;pf_D;freq_Hz_D;energy_Wh_D;energy_reverse_Wh_D;direction_D
25,651085;-100,293008;30/4/2026 14:09;30;4;2026;14;9;127,7;91,76;6786;0,57;58,85;6077;0;31,2;3346;0,83;58,85;4357;130,9;2,914;266;0,69;58,87;12674;8296;REVERSE;130,9;4,075;404,9;0,75;58,87;9111;9725;FORWARD
25,651085;-100,293008;30/4/2026 14:45;30;4;2026;14;45;127;143,74;12137;0,66;58,87;6133;0;70,84;7814;0,86;58,87;4392;131;4,554;484,4;0,81;58,87;12674;8316;REVERSE;131;5,726;603,3;0,8;58,87;9137;9725;FORWARD
25,651085;-100,293008;30/4/2026 15:41;30;4;2026;15;41;126,6;84,71;6231;0,58;58,84;6209;0;86,32;10843;0,99;58,84;4431;130,1;8,43;888,6;0,8;58,84;12688;8343;FORWARD;130,1;5,807;719,6;0,95;58,84;9174;9736;REVERSE
25,651085;-100,293008;30/4/2026 16:36;30;4;2026;16;36;128,1;81,94;6099;0,58;58,81;6274;0;10,82;1067;0,76;58,81;4462;130,3;5,007;233,3;0,35;58,81;12701;8352;FORWARD;130,3;1,831;26,4;0,11;58,81;9183;9745;FORWARD
25,651085;-100,293008;30/4/2026 17:33;30;4;2026;17;33;129,2;108,97;8610;0,61;58,81;6345;0;44,17;4328;0,75;58,81;4490;131,6;4,791;210,2;0,33;58,79;12703;8367;REVERSE;131,6;1,585;41,2;0,19;58,79;9185;9746;FORWARD
25,651085;-100,293008;30/4/2026 19:24;30;4;2026;19;24;130,1;71,27;5414;0,58;58,85;6474;0;21,94;2238;0,78;58,85;4547;132,9;8,012;787,3;0,73;58,84;12750;8383;FORWARD;132,9;3,668;456;0,93;58,84;9186;9772;REVERSE
25,651085;-100,293008;30/4/2026 23:04;30;4;2026;23;4;131,3;70,61;5383;0,58;58,84;6672;0;21,79;2229;0,77;58,84;4607;133,8;10,684;1234,3;0,86;58,84;13052;8383;FORWARD;133,8;8,043;1045,7;0,97;58,84;9186;9971;REVERSE
25,651085;-100,293008;1/5/2026 1:33;1;5;2026;1;33;131,8;7,71;623;0,61;58,87;6746;0;9,68;901;0,7;58,87;4649;134,6;7,714;956,7;0,91;58,87;13284;8383;FORWARD;134,6;6,182;817;0,98;58,87;9186;10163;REVERSE
25,651085;-100,293008;1/5/2026 3:19;1;5;2026;3;19;132,3;7,71;629;0,61;58,9;6757;0;9,49;889;0,7;58,9;4676;135;5,826;700,3;0,88;58,85;13428;8383;FORWARD;135;4,545;572,3;0,93;58,85;9186;10284;REVERSE
25,651085;-100,293008;1/5/2026 4:48;1;5;2026;4;48;133,4;7,69;632;0,61;58,87;6767;0;5,87;571;0,72;58,87;4698;135,4;4,907;629,5;0,94;58,85;13526;8383;FORWARD;135,4;3,808;511,3;0,99;58,85;9186;10363;REVERSE
25,651085;-100,293008;1/5/2026 5:46;1;5;2026;5;46;133,4;7,7;636;0,61;58,85;6773;0;5,82;568;0,73;58,85;4711;135,8;2,391;262,1;0,8;58,84;13555;8383;FORWARD;135,8;1,593;126,1;0,58;58,84;9186;10379;REVERSE
25,651085;-100,293008;1/5/2026 6:44;1;5;2026;6;44;133;7,7;634;0,61;58,84;6779;0;5,89;568;0,72;58,84;4723;135,3;2,304;242,6;0,77;58,84;13579;8383;FORWARD;135,3;1,686;140,8;0,61;58,84;9186;10392;REVERSE
25,651085;-100,293008;1/5/2026 8:08;1;5;2026;8;8;133;74,74;5866;0,59;58,85;6810;0;5,94;574;0,72;58,85;4744;134,8;1,822;147,6;0,6;58,84;13605;8383;FORWARD;134,8;1,372;84;0,45;58,84;9186;10403;REVERSE
25,651085;-100,293008;1/5/2026 9:14;1;5;2026;9;14;133,5;73,79;5817;0,59;58,87;6872;0;5,9;573;0,72;58,87;4755;135,5;2,065;150,7;0,53;58,84;13625;8383;FORWARD;135,5;1,208;12,6;0,07;58,84;9186;10408;FORWARD
25,651085;-100,293008;1/5/2026 10:12;1;5;2026;10;12;133,1;1,7;147;0,64;58,85;6914;0;6,95;683;0,73;58,85;4764;135,2;1,178;50,9;0,31;58,85;13632;8383;REVERSE;135,2;1,792;96,1;0,39;58,85;9192;10408;FORWARD
25,651085;-100,293008;1/5/2026 11:14;1;5;2026;11;14;133;1,69;145;0,64;58,87;6915;0;5,91;569;0,72;58,87;4778;135,2;1,784;137,5;0,56;58,84;13632;8391;REVERSE;135,2;2,558;165,4;0,47;58,84;9206;10408;FORWARD
25,651085;-100,293008;1/5/2026 12:13;1;5;2026;12;13;132,5;1,68;144;0,64;58,87;6917;0;5,94;565;0,71;58,87;4788;134,8;1,627;94,4;0,42;58,84;13633;8399;REVERSE;134,8;2,594;129,6;0,34;58,84;9219;10408;FORWARD
25,651085;-100,293008;1/5/2026 13:40;1;5;2026;13;40;132,2;1,66;140;0,64;58,85;6919;0;19,2;1765;0,69;58,85;4800;135,1;3,041;344,2;0,83;58,84;13633;8466;REVERSE;135,1;5,396;585,3;0,8;58,84;9317;10408;FORWARD
25,651085;-100,293008;1/5/2026 14:33;1;5;2026;14;33;132;1,75;149;0,64;58,85;6920;0;5,83;561;0,72;58,85;4810;134,5;4,245;368,5;0,63;58,84;13635;8478;FORWARD;134,5;1,93;198,8;0,76;58,84;9343;10409;REVERSE
25,651085;-100,293008;1/5/2026 15:30;1;5;2026;15;30;131,3;1,52;135;0,67;58,84;6921;0;6,06;582;0,73;58,84;4820;133,6;6,652;700,3;0,78;58,82;13693;8478;FORWARD;133,6;4,495;570,5;0,94;58,82;9343;10456;REVERSE
25,651085;-100,293008;1/5/2026 16:27;1;5;2026;16;27;131,6;1,71;145;0,64;58,82;6923;0;5,77;558;0,73;58,82;4829;133,8;1,831;152,5;0,62;58,79;13707;8478;FORWARD;133,8;1,176;11,5;0,07;58,79;9344;10458;REVERSE
25,651085;-100,293008;1/5/2026 17:28;1;5;2026;17;28;131,4;7,94;644;0,61;58,85;6927;0;5,82;561;0,73;58,85;4840;133,8;2,327;220,6;0,7;58,82;13724;8478;FORWARD;133,8;1,06;64,7;0,45;58,82;9344;10462;REVERSE
25,651085;-100,293008;1/5/2026 19:12;1;5;2026;19;12;132,3;7,93;651;0,62;58,84;6939;0;5,93;572;0,72;58,84;4857;134,6;3,114;287,8;0,68;58,81;13777;8478;FORWARD;134,6;1,715;172;0,74;58,81;9344;10487;REVERSE
25,651085;-100,293008;1/5/2026 22:28;1;5;2026;22;28;133,2;7,77;642;0,61;58,87;6959;0;19,16;1752;0,68;58,87;4889;135,6;1,784;175;0,72;58,82;13889;8478;FORWARD;135,6;3,131;306,5;0,72;58,82;9344;10573;REVERSE
25,651085;-100,293008;2/5/2026 0:26;2;5;2026;0;26;133,8;7,76;644;0,61;58,85;6972;0;19,28;1723;0,66;58,85;4909;136;1,754;170,7;0,71;58,84;13923;8478;FORWARD;136;2,141;197,6;0,67;58,84;9344;10632;REVERSE
25,651085;-100,293008;2/5/2026 2:07;2;5;2026;2;7;134,5;7,66;639;0,61;58,84;6989;0;5,78;571;0,73;58,84;4925;136,7;1,775;182,7;0,75;58,81;13952;8478;FORWARD;136,7;1,858;166,7;0,65;58,81;9344;10661;REVERSE
25,651085;-100,293008;2/5/2026 3:19;2;5;2026;3;19;134,4;7,67;640;0,62;58,82;6997;0;5,79;571;0,73;58,82;4937;136,7;1,812;184,3;0,74;58,76;13973;8478;FORWARD;136,7;1,857;166,6;0,65;58,76;9344;10681;REVERSE
25,651085;-100,293008;2/5/2026 4:14;2;5;2026;4;14;134,4;7,66;640;0,62;58,85;7003;0;5,72;566;0,73;58,85;4945;136,6;1,768;176,5;0,72;58,81;13990;8478;FORWARD;136,6;1,607;127,7;0,58;58,81;9344;10695;REVERSE
25,651085;-100,293008;2/5/2026 5:08;2;5;2026;5;8;135,1;7,64;641;0,62;58,84;7009;0;5,77;572;0,73;58,84;4955;137,1;1,755;182,4;0,75;58,79;14006;8478;FORWARD;137,1;1,611;128,5;0,58;58,79;9344;10707;REVERSE
25,651085;-100,293008;2/5/2026 5:56;2;5;2026;5;56;134,9;7,65;643;0,62;58,85;7014;0;5,77;572;0,73;58,85;4963;136,8;1,453;136,7;0,68;58,81;14021;8478;FORWARD;136,8;1,607;127,7;0,58;58,81;9344;10717;REVERSE
25,651085;-100,293008;2/5/2026 7:15;2;5;2026;7;15;134,6;68,66;5465;0,59;58,82;7068;0;18,7;1823;0,72;58,82;4985;136,3;1,506;111,7;0,54;58,78;14043;8478;FORWARD;136,3;1,073;78,5;0,53;58,78;9344;10734;REVERSE
25,651085;-100,293008;2/5/2026 8:15;2;5;2026;8;15;134,8;68,72;5478;0,59;58,84;7124;0;19,59;1968;0,74;58,84;5003;136,4;1,43;99,3;0,5;58,79;14054;8478;FORWARD;136,4;1,098;41,7;0,27;58,79;9344;10740;REVERSE
25,651085;-100,293008;2/5/2026 9:07;2;5;2026;9;7;134,5;69,04;5500;0,59;58,87;7171;0;5,9;573;0,72;58,87;5018;136,3;1,643;9,6;0,04;58,81;14058;8478;FORWARD;136,3;1,822;126,2;0,5;58,81;9347;10741;FORWARD
25,651085;-100,293008;2/5/2026 9:59;2;5;2026;9;59;134;69,5;5511;0,59;58,87;7217;0;5,92;573;0,72;58,87;5029;135,7;6,087;208,3;0,25;58,79;14064;8480;REVERSE;135,7;2,053;163,5;0,58;58,79;9357;10741;FORWARD
25,651085;-100,293008;2/5/2026 11:00;2;5;2026;11;0;134,2;7,7;644;0,62;58,87;7229;0;5,82;572;0,73;58,87;5043;136,1;2,567;232,4;0,66;58,82;14066;8506;REVERSE;136,1;3,775;374,4;0,72;58,82;9386;10741;FORWARD
