timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,127.7,91.76,6786,0.57,58.85,6077
2026-04-30 14:45:04,127.0,143.74,12137,0.66,58.87,6133
2026-04-30 15:41:58,126.6,84.71,6231,0.58,58.84,6209
2026-04-30 16:36:24,128.1,81.94,6099,0.58,58.81,6274
2026-04-30 17:33:24,129.2,108.97,8610,0.61,58.81,6345
2026-04-30 19:24:38,130.1,71.27,5414,0.58,58.85,6474
2026-04-30 23:04:16,131.3,70.61,5383,0.58,58.84,6672
2026-05-01 01:33:57,131.8,7.71,623,0.61,58.87,6746
2026-05-01 03:19:04,132.3,7.71,629,0.61,58.9,6757
2026-05-01 04:48:50,133.4,7.69,632,0.61,58.87,6767
