timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,0.0,31.2,3346,0.83,58.85,4357
2026-04-30 14:45:04,0.0,70.84,7814,0.86,58.87,4392
2026-04-30 15:41:58,0.0,86.32,10843,0.99,58.84,4431
2026-04-30 16:36:24,0.0,10.82,1067,0.76,58.81,4462
2026-04-30 17:33:24,0.0,44.17,4328,0.75,58.81,4490
2026-04-30 19:24:38,0.0,21.94,2238,0.78,58.85,4547
2026-04-30 23:04:16,0.0,21.79,2229,0.77,58.84,4607
2026-05-01 01:33:57,0.0,9.68,901,0.7,58.87,4649
2026-05-01 03:19:04,0.0,9.49,889,0.7,58.9,4676
2026-05-01 04:48:50,0.0,5.87,571,0.72,58.87,4698
2026-05-01 05:46:54,0.0,5.82,568,0.73,58.85,4711
2026-05-01 06:44:29,0.0,5.89,568,0.72,58.84,4723
2026-05-01 08:08:48,0.0,5.94,574,0.72,58.85,4744
2026-05-01 09:14:33,0.0,5.9,573,0.72,58.87,4755
2026-05-01 10:12:16,0.0,6.95,683,0.73,58.85,4764
2026-05-01 11:14:37,0.0,5.91,569,0.72,58.87,4778
2026-05-01 12:13:29,0.0,5.94,565,0.71,58.87,4788
2026-05-01 13:40:37,0.0,19.2,1765,0.69,58.85,4800
2026-05-01 14:33:32,0.0,5.83,561,0.72,58.85,4810
2026-05-01 15:30:38,0.0,6.06,582,0.73,58.84,4820
2026-05-01 16:27:58,0.0,5.77,558,0.73,58.82,4829
2026-05-01 17:28:19,0.0,5.82,561,0.73,58.85,4840
2026-05-01 19:12:29,0.0,5.93,572,0.72,58.84,4857
2026-05-01 22:28:12,0.0,19.16,1752,0.68,58.87,4889
2026-05-02 00:26:15,0.0,19.28,1723,0.66,58.85,4909
2026-05-02 02:07:19,0.0,5.78,571,0.73,58.84,4925
2026-05-02 03:19:33,0.0,5.79,571,0.73,58.82,4937
2026-05-02 04:14:09,0.0,5.72,566,0.73,58.85,4945
2026-05-02 05:08:22,0.0,5.77,572,0.73,58.84,4955
2026-05-02 05:56:57,0.0,5.77,572,0.73,58.85,4963
2026-05-02 07:15:06,0.0,18.7,1823,0.72,58.82,4985
2026-05-02 08:15:48,0.0,19.59,1968,0.74,58.84,5003
2026-05-02 09:07:57,0.0,5.9,573,0.72,58.87,5018
2026-05-02 09:59:39,0.0,5.92,573,0.72,58.87,5029
2026-05-02 11:00:16,0.0,5.82,572,0.73,58.87,5043
2026-05-02 11:53:48,0.0,19.34,1957,0.75,58.85,5055
2026-05-02 12:45:43,0.0,5.94,573,0.72,58.84,5069
2026-05-02 13:43:53,0.0,19.19,1761,0.68,58.82,5081
2026-05-02 14:26:15,0.0,19.2,1948,0.76,58.82,5092
2026-05-02 15:08:19,0.0,5.83,566,0.72,58.81,5103
2026-05-02 15:57:36,0.0,5.84,570,0.73,58.84,5111
2026-05-02 16:47:20,0.0,18.56,1805,0.72,58.81,5122
2026-05-02 17:30:26,0.0,5.83,572,0.73,58.85,5134
2026-05-02 18:11:10,0.0,5.76,569,0.73,58.87,5143
2026-05-02 22:11:41,0.0,5.87,577,0.73,58.85,5195
2026-05-03 00:40:56,0.0,19.07,1890,0.73,58.85,5225
2026-05-03 02:25:54,0.0,5.78,573,0.73,58.81,5249
2026-05-03 03:47:35,0.0,5.82,577,0.73,58.79,5269
2026-05-03 04:40:23,0.0,18.78,1850,0.73,58.82,5279
2026-05-03 05:27:16,0.0,5.82,576,0.73,58.85,5289
2026-05-03 06:07:08,0.0,18.62,1809,0.71,58.84,5297
2026-05-03 07:45:40,0.0,5.8,571,0.72,58.84,5320
2026-05-03 08:36:50,0.0,5.87,576,0.72,58.81,5330
2026-05-03 09:27:53,0.0,73.83,9850,0.99,58.82,5339
2026-05-03 10:10:22,0.0,5.81,569,0.72,58.84,5349
2026-05-03 11:07:38,0.0,5.8,571,0.73,58.85,5361
2026-05-03 12:00:43,0.0,18.99,1893,0.74,58.82,5373
2026-05-03 13:12:47,0.0,18.87,1876,0.74,58.85,5387
2026-05-03 14:00:35,0.0,5.78,565,0.73,58.84,5399
2026-05-03 14:56:41,0.0,5.86,571,0.73,58.78,5410
2026-05-03 15:42:22,0.0,19.19,1758,0.68,58.79,5421
