timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_reverse_Wh,direction
2026-04-30 14:09:56,130.9,4.075,404.9,0.75,58.87,9111,9725,FORWARD
2026-04-30 14:45:04,131.0,5.726,603.3,0.8,58.87,9137,9725,FORWARD
2026-04-30 15:41:58,130.1,5.807,719.6,0.95,58.84,9174,9736,REVERSE
2026-04-30 16:36:24,130.3,1.831,26.4,0.11,58.81,9183,9745,FORWARD
2026-04-30 17:33:24,131.6,1.585,41.2,0.19,58.79,9185,9746,FORWARD
2026-04-30 19:24:38,132.9,3.668,456.0,0.93,58.84,9186,9772,REVERSE
2026-04-30 23:04:16,133.8,8.043,1045.7,0.97,58.84,9186,9971,REVERSE
2026-05-01 01:33:57,134.6,6.182,817.0,0.98,58.87,9186,10163,REVERSE
2026-05-01 03:19:04,135.0,4.545,572.3,0.93,58.85,9186,10284,REVERSE
2026-05-01 04:48:50,135.4,3.808,511.3,0.99,58.85,9186,10363,REVERSE
2026-05-01 05:46:54,135.8,1.593,126.1,0.58,58.84,9186,10379,REVERSE
2026-05-01 06:44:29,135.3,1.686,140.8,0.61,58.84,9186,10392,REVERSE
