timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,0.0,0.63,44,0.54,59.15,91
2026-04-30 14:45:04,0.0,0.6,44,0.56,59.13,91
2026-04-30 15:41:58,0.0,0.61,45,0.57,59.09,92
2026-04-30 16:36:24,0.0,0.62,45,0.57,59.09,92
2026-04-30 17:33:24,0.0,4.17,388,0.72,59.09,94
2026-04-30 19:24:38,0.0,1.05,120,0.88,59.1,102
2026-04-30 23:04:16,0.0,1.01,118,0.89,59.12,106
2026-05-01 01:33:57,0.0,0.55,40,0.55,59.13,108
2026-05-01 03:19:04,0.0,0.51,37,0.55,59.13,109
2026-05-01 04:48:50,0.0,0.56,44,0.58,59.12,109
2026-05-01 05:46:54,0.0,0.53,40,0.55,59.1,110
2026-05-01 06:44:29,0.0,0.51,38,0.54,59.1,110
2026-05-01 08:08:48,0.0,1.04,121,0.87,59.1,113
2026-05-01 09:14:33,0.0,0.99,119,0.88,59.12,114
2026-05-01 10:12:16,0.0,0.53,41,0.57,59.12,114
2026-05-01 11:14:37,0.0,0.49,37,0.55,59.15,115
2026-05-01 12:13:29,0.0,0.51,39,0.55,59.12,115
2026-05-01 13:40:37,0.0,1.03,120,0.89,59.15,116
2026-05-01 14:33:32,0.0,1.0,120,0.88,59.12,117
2026-05-01 15:30:38,0.0,2.0,220,0.81,59.1,118
2026-05-01 16:27:58,0.0,0.99,118,0.89,59.09,120
2026-05-01 17:28:19,0.0,1.0,118,0.88,59.12,121
2026-05-01 19:12:29,0.0,1.01,119,0.88,59.09,123
2026-05-01 22:28:12,0.0,3.03,309,0.76,59.09,127
2026-05-02 00:26:15,0.0,0.5,38,0.56,59.09,128
2026-05-02 02:07:19,0.0,0.49,39,0.57,59.1,130
2026-05-02 03:19:33,0.0,0.51,39,0.56,59.07,130
2026-05-02 04:14:09,0.0,0.5,37,0.54,59.12,131
2026-05-02 05:08:22,0.0,0.51,39,0.56,59.09,131
2026-05-02 05:56:57,0.0,0.48,38,0.58,59.1,131
2026-05-02 07:15:06,0.0,3.33,358,0.78,59.09,132
2026-05-02 08:15:48,0.0,1.92,214,0.81,59.1,134
2026-05-02 09:07:57,0.0,1.92,214,0.81,59.1,138
2026-05-02 09:59:39,0.0,0.97,118,0.89,59.1,139
2026-05-02 11:00:16,0.0,0.95,119,0.89,59.12,140
2026-05-02 11:53:48,0.0,0.96,119,0.9,59.13,141
2026-05-02 12:45:43,0.0,0.49,38,0.56,59.1,142
2026-05-02 13:43:53,0.0,2.33,217,0.68,59.09,143
2026-05-02 14:26:15,0.0,2.54,275,0.8,59.07,145
2026-05-02 15:08:19,0.0,2.53,276,0.8,59.07,147
2026-05-02 15:57:36,0.0,2.51,273,0.8,59.09,149
2026-05-02 16:47:20,0.0,1.0,119,0.87,59.07,150
2026-05-02 17:30:26,0.0,0.99,119,0.9,59.12,151
2026-05-02 18:11:10,0.0,0.95,115,0.89,59.13,152
2026-05-02 22:11:41,0.0,2.53,274,0.8,59.12,161
2026-05-03 00:40:56,0.0,0.48,40,0.6,59.1,166
