timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,117.2,14.45,1640,0.96,59.13,938
2026-04-30 14:45:04,117.4,14.49,1642,0.96,59.1,948
2026-04-30 15:41:58,116.5,15.54,1735,0.95,59.09,965
2026-04-30 16:36:24,118.0,14.26,1627,0.96,59.07,980
2026-04-30 17:33:24,116.7,14.1,1591,0.96,59.06,997
2026-04-30 19:24:38,121.0,16.23,1912,0.97,59.07,1029
2026-04-30 23:04:16,122.0,13.72,1625,0.96,59.07,1119
2026-05-01 01:33:57,121.8,73.32,8543,0.95,59.13,1239
2026-05-01 03:19:04,123.3,31.59,3859,0.98,59.1,1358
2026-05-01 04:48:50,122.6,60.58,7154,0.96,59.07,1448
2026-05-01 05:46:54,124.4,28.42,3489,0.98,59.09,1498
2026-05-01 06:44:29,124.5,57.5,6899,0.96,59.07,1545
2026-05-01 08:08:48,125.6,18.52,2264,0.97,59.04,1601
2026-05-01 09:14:33,126.2,13.18,1626,0.97,59.07,1638
2026-05-01 10:12:16,125.6,11.61,1419,0.97,59.06,1652
2026-05-01 11:14:37,125.9,13.91,1686,0.96,59.09,1672
2026-05-01 12:13:29,125.3,14.34,1728,0.96,59.07,1689
2026-05-01 13:40:37,124.5,13.05,1572,0.96,59.07,1713
2026-05-01 14:33:32,124.5,13.29,1601,0.96,59.07,1728
2026-05-01 15:30:38,123.3,21.17,2422,0.92,59.07,1755
2026-05-01 16:27:58,123.7,12.52,1514,0.97,59.04,1770
2026-05-01 17:28:19,123.5,12.07,1451,0.97,59.04,1785
2026-05-01 19:12:29,124.8,15.34,1866,0.97,59.04,1817
2026-05-01 22:28:12,125.8,16.6,2034,0.97,59.07,1880
2026-05-02 00:26:15,126.2,13.69,1707,0.98,59.04,1932
2026-05-02 02:07:19,126.9,19.15,2349,0.96,59.02,1971
2026-05-02 03:19:33,127.3,12.6,1579,0.98,59.01,1996
2026-05-02 04:14:09,126.9,12.33,1542,0.98,59.04,2013
2026-05-02 05:08:22,128.1,19.69,2461,0.97,59.01,2032
2026-05-02 05:56:57,128.6,12.97,1641,0.98,59.04,2047
2026-05-02 07:15:06,128.0,11.81,1486,0.98,58.99,2067
2026-05-02 08:15:48,127.7,11.57,1453,0.98,59.01,2083
2026-05-02 09:07:57,127.5,11.83,1470,0.97,59.04,2096
2026-05-02 09:59:39,127.0,11.7,1448,0.97,59.02,2109
2026-05-02 11:00:16,127.0,11.6,1434,0.97,59.04,2123
2026-05-02 11:53:48,125.3,16.4,1992,0.96,59.04,2139
2026-05-02 12:45:43,126.2,13.02,1605,0.97,59.02,2155
2026-05-02 13:43:53,125.5,12.08,1481,0.97,59.01,2174
2026-05-02 14:26:15,124.3,11.76,1426,0.97,59.02,2185
2026-05-02 15:08:19,127.5,11.59,1443,0.97,58.99,2194
