timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,114.2,96.97,11024,0.99,59.01,2327
2026-04-30 14:45:04,116.3,53.35,6169,0.99,58.99,2390
2026-04-30 15:41:58,113.9,52.38,5924,0.99,58.96,2449
2026-04-30 16:36:24,115.2,52.79,6039,0.99,58.93,2505
2026-04-30 17:33:24,115.7,96.12,11069,0.99,58.95,2601
2026-04-30 19:24:38,114.7,91.51,10437,0.99,58.96,2763
2026-04-30 23:04:16,119.2,100.46,11949,0.99,58.98,3197
2026-05-01 01:33:57,121.3,102.38,12312,0.99,59.02,3451
2026-05-01 03:19:04,121.8,93.7,11284,0.98,59.01,3618
2026-05-01 04:48:50,124.3,10.91,1206,0.88,58.99,3746
2026-05-01 05:46:54,123.4,50.05,6066,0.98,58.99,3793
2026-05-01 06:44:29,123.0,49.17,5928,0.97,58.98,3844
2026-05-01 08:08:48,123.4,10.91,1194,0.88,58.99,3895
2026-05-01 09:14:33,123.7,53.8,6585,0.98,59.01,3915
2026-05-01 10:12:16,124.6,53.91,6633,0.98,58.99,3971
2026-05-01 11:14:37,122.7,96.83,11725,0.98,59.01,4030
2026-05-01 12:13:29,125.4,14.92,1737,0.92,58.99,4122
2026-05-01 13:40:37,126.6,63.98,7991,0.98,59.01,4260
2026-05-01 14:33:32,122.1,96.01,11610,0.99,58.98,4351
2026-05-01 15:30:38,120.5,52.16,6175,0.98,58.95,4413
2026-05-01 16:27:58,121.5,52.26,6243,0.98,58.96,4497
2026-05-01 17:28:19,122.2,13.77,1468,0.87,58.98,4538
2026-05-01 19:12:29,122.2,13.98,1460,0.85,58.98,4621
2026-05-01 22:28:12,124.8,22.54,2555,0.9,58.99,4678
2026-05-02 00:26:15,123.3,58.23,7109,0.99,58.99,4757
2026-05-02 02:07:19,126.1,18.62,2203,0.93,58.99,4827
2026-05-02 03:19:33,127.4,12.9,1534,0.93,58.96,4890
2026-05-02 04:14:09,127.6,12.98,1547,0.93,58.99,4945
2026-05-02 05:08:22,126.5,49.71,6039,0.96,58.96,4991
2026-05-02 05:56:57,127.7,13.06,1546,0.92,58.98,5027
2026-05-02 07:15:06,127.3,12.69,1486,0.91,58.95,5067
2026-05-02 08:15:48,127.3,12.7,1478,0.91,58.96,5090
2026-05-02 09:07:57,126.3,12.01,1397,0.92,58.98,5111
2026-05-02 09:59:39,126.2,50.48,6199,0.97,58.99,5129
2026-05-02 11:00:16,127.0,43.99,5250,0.93,58.99,5151
2026-05-02 11:53:48,127.8,13.01,1560,0.93,58.98,5168
2026-05-02 12:45:43,128.5,53.55,6594,0.95,58.96,5196
2026-05-02 13:43:53,124.7,13.42,1523,0.91,58.95,5228
2026-05-02 14:26:15,126.3,9.52,1017,0.84,58.95,5251
2026-05-02 15:08:19,126.4,6.77,584,0.68,58.95,5258
2026-05-02 15:57:36,124.7,8.76,738,0.67,58.95,5264
2026-05-02 16:47:20,124.6,6.97,596,0.68,58.93,5270
2026-05-02 17:30:26,125.6,7.51,665,0.7,58.98,5274
2026-05-02 18:11:10,125.5,14.98,1639,0.87,59.01,5283
2026-05-02 22:11:41,126.8,12.56,1403,0.88,58.98,5342
2026-05-03 00:40:56,127.4,15.56,1736,0.87,58.98,5409
2026-05-03 02:25:54,127.1,51.26,6189,0.94,58.93,5455
2026-05-03 03:47:35,128.2,11.4,1395,0.95,58.93,5532
2026-05-03 04:40:23,126.5,50.1,6062,0.95,58.98,5569
2026-05-03 05:27:16,126.6,51.03,6281,0.97,59.01,5604
2026-05-03 06:07:08,126.5,89.18,10788,0.95,58.95,5629
2026-05-03 07:45:40,127.2,48.36,5848,0.94,58.96,5675
2026-05-03 08:36:50,127.4,11.21,1324,0.92,58.93,5694
2026-05-03 09:27:53,127.3,43.02,5000,0.91,58.93,5708
2026-05-03 10:10:22,128.2,44.24,5217,0.91,58.98,5718
2026-05-03 11:07:38,126.9,45.72,5501,0.94,58.98,5732
2026-05-03 12:00:43,129.5,6.19,596,0.74,58.96,5754
2026-05-03 13:12:47,129.4,5.98,509,0.65,58.99,5789
2026-05-03 14:00:35,129.1,7.26,615,0.65,58.95,5795
2026-05-03 14:56:41,128.3,56.81,7138,0.97,58.93,5826
2026-05-03 15:42:22,128.1,49.69,6091,0.95,58.96,5878
2026-05-03 16:24:46,129.9,181.63,22469,0.95,58.93,5932
2026-05-03 17:09:56,126.0,52.03,6330,0.96,58.99,5990
2026-05-03 18:02:45,125.3,50.75,6174,0.97,58.96,6042
2026-05-03 22:03:01,123.9,48.77,5897,0.97,58.93,6141
2026-05-04 00:49:21,126.1,16.33,1982,0.96,58.98,6315
2026-05-04 03:09:05,126.4,54.37,6704,0.97,58.98,6412
2026-05-04 05:17:05,127.0,8.9,996,0.88,58.98,6474
2026-05-04 06:59:14,125.5,44.7,5422,0.96,58.98,6513
2026-05-04 09:12:55,125.9,7.0,682,0.77,58.96,6537
2026-05-04 11:02:39,126.2,47.23,5827,0.97,58.96,6550
2026-05-04 12:25:24,127.2,5.47,526,0.75,59.01,6579
2026-05-04 14:02:04,125.6,5.36,493,0.73,59.01,6667
2026-05-04 15:16:51,120.6,92.95,11078,0.98,58.95,6731
2026-05-04 16:16:47,120.4,99.84,11967,0.99,58.98,6830
2026-05-04 17:13:25,119.8,49.71,5881,0.98,58.98,6913
2026-05-04 18:10:00,119.7,47.43,5602,0.98,58.95,6980
