latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,657299;-100,293267;30/4/2026 14:09;30;4;2026;14;9;118,9;78,91;8835;0,94;59,04;781;0;81,3;8914;0,92;59,04;597
25,657299;-100,293267;30/4/2026 14:45;30;4;2026;14;45;119,3;16,26;1274;0,65;59,04;820;0;14,99;747;0,41;59,04;634
25,657299;-100,293267;30/4/2026 15:41;30;4;2026;15;41;118,5;16,13;1240;0,64;58,99;836;0;12,26;382;0,26;58,99;638
25,657299;-100,293267;30/4/2026 16:36;30;4;2026;16;36;118,5;15,86;1172;0,62;58,99;847;0;11,99;325;0,22;58,99;642
25,657299;-100,293267;30/4/2026 17:33;30;4;2026;17;33;119,3;15,78;1183;0,62;58,96;859;0;12,72;454;0,29;58,96;646
25,657299;-100,293267;30/4/2026 19:24;30;4;2026;19;24;120,3;16,15;966;0,49;58,98;877;0;22,34;2218;0,82;58,98;652
25,657299;-100,293267;30/4/2026 23:04;30;4;2026;23;4;122,5;22,4;2066;0,75;59,01;1174;0;14,62;853;0,47;59,01;891
25,657299;-100,293267;1/5/2026 1:33;1;5;2026;1;33;122,8;13,72;479;0,28;59,04;1212;0;80,58;9632;0,97;59,04;920
25,657299;-100,293267;1/5/2026 3:19;1;5;2026;3;19;124,2;17,31;1373;0,63;59,02;1234;0;11,75;242;0,16;59,02;963
25,657299;-100,293267;1/5/2026 4:48;1;5;2026;4;48;125,3;17,38;1403;0,64;59,01;1248;0;11,83;249;0,16;59,01;967
25,657299;-100,293267;1/5/2026 5:46;1;5;2026;5;46;125,7;17,53;1180;0,53;58,99;1258;0;12,28;321;0,2;58,99;969
25,657299;-100,293267;1/5/2026 6:44;1;5;2026;6;44;125,8;18,44;1579;0,67;58,99;1284;0;11,8;235;0,15;58,99;972
25,657299;-100,293267;1/5/2026 8:08;1;5;2026;8;8;125,5;13,32;283;0,16;59,01;1299;0;11,79;239;0,16;59,01;975
25,657299;-100,293267;1/5/2026 9:14;1;5;2026;9;14;126,3;18,46;1533;0,65;59,02;1310;0;11,87;235;0,15;59,02;978
25,657299;-100,293267;1/5/2026 10:12;1;5;2026;10;12;126,4;16,55;1274;0,6;59,02;1320;0;11,89;241;0,16;59,02;981
25,657299;-100,293267;1/5/2026 11:14;1;5;2026;11;14;125,7;16,01;1153;0,57;59,02;1333;0;11,84;246;0,16;59,02;983
25,657299;-100,293267;1/5/2026 12:13;1;5;2026;12;13;125,4;15,78;1121;0,56;58,99;1345;0;11,8;238;0,16;58,99;985
25,657299;-100,293267;1/5/2026 13:40;1;5;2026;13;40;126,8;13,22;263;0,15;59,02;1355;0;11,88;250;0,16;59,02;989
25,657299;-100,293267;1/5/2026 14:33;1;5;2026;14;33;125,6;15,79;1125;0,56;59,01;1364;0;11,79;240;0,16;59,01;991
25,657299;-100,293267;1/5/2026 15:30;1;5;2026;15;30;124,5;13,07;260;0,15;58,98;1372;0;11,77;243;0,16;58,98;993
25,657299;-100,293267;1/5/2026 16:27;1;5;2026;16;27;124,9;16,13;1216;0,6;58,96;1377;0;11,72;238;0,16;58,96;995
25,657299;-100,293267;1/5/2026 17:28;1;5;2026;17;28;124,7;15,75;1133;0,57;58,98;1388;0;11,72;239;0,16;58,98;997
25,657299;-100,293267;1/5/2026 19:12;1;5;2026;19;12;125;18,12;1513;0,66;58,96;1401;0;11,75;242;0,16;58,96;1001
25,657299;-100,293267;1/5/2026 22:28;1;5;2026;22;28;126,2;15,01;751;0,39;58,99;1444;0;11,87;237;0,15;58,99;1009
25,657299;-100,293267;2/5/2026 0:26;2;5;2026;0;26;127,6;18,93;1626;0,67;58,99;1470;0;12,01;240;0,15;58,99;1014
25,657299;-100,293267;2/5/2026 2:07;2;5;2026;2;7;127,9;18,83;1630;0,67;58,99;1489;0;12,02;244;0,15;58,99;1018
25,657299;-100,293267;2/5/2026 3:19;2;5;2026;3;19;128,3;15,11;764;0,39;58,93;1504;0;12,05;240;0,15;58,93;1021
25,657299;-100,293267;2/5/2026 4:14;2;5;2026;4;14;128,3;19,47;1728;0,69;59,01;1514;0;12,03;238;0,15;59,01;1023
25,657299;-100,293267;2/5/2026 5:08;2;5;2026;5;8;129;19,02;1625;0,66;58,98;1529;0;12,16;238;0,15;58,98;1025
