timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,118.9,78.91,8835,0.94,59.04,781
2026-04-30 14:45:04,119.3,16.26,1274,0.65,59.04,820
2026-04-30 15:41:58,118.5,16.13,1240,0.64,58.99,836
2026-04-30 16:36:24,118.5,15.86,1172,0.62,58.99,847
2026-04-30 17:33:24,119.3,15.78,1183,0.62,58.96,859
2026-04-30 19:24:38,120.3,16.15,966,0.49,58.98,877
2026-04-30 23:04:16,122.5,22.4,2066,0.75,59.01,1174
2026-05-01 01:33:57,122.8,13.72,479,0.28,59.04,1212
2026-05-01 03:19:04,124.2,17.31,1373,0.63,59.02,1234
2026-05-01 04:48:50,125.3,17.38,1403,0.64,59.01,1248
2026-05-01 05:46:54,125.7,17.53,1180,0.53,58.99,1258
2026-05-01 06:44:29,125.8,18.44,1579,0.67,58.99,1284
