timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,0.0,81.3,8914,0.92,59.04,597
2026-04-30 14:45:04,0.0,14.99,747,0.41,59.04,634
2026-04-30 15:41:58,0.0,12.26,382,0.26,58.99,638
2026-04-30 16:36:24,0.0,11.99,325,0.22,58.99,642
2026-04-30 17:33:24,0.0,12.72,454,0.29,58.96,646
2026-04-30 19:24:38,0.0,22.34,2218,0.82,58.98,652
2026-04-30 23:04:16,0.0,14.62,853,0.47,59.01,891
2026-05-01 01:33:57,0.0,80.58,9632,0.97,59.04,920
2026-05-01 03:19:04,0.0,11.75,242,0.16,59.02,963
2026-05-01 04:48:50,0.0,11.83,249,0.16,59.01,967
2026-05-01 05:46:54,0.0,12.28,321,0.2,58.99,969
2026-05-01 06:44:29,0.0,11.8,235,0.15,58.99,972
2026-05-01 08:08:48,0.0,11.79,239,0.16,59.01,975
2026-05-01 09:14:33,0.0,11.87,235,0.15,59.02,978
2026-05-01 10:12:16,0.0,11.89,241,0.16,59.02,981
2026-05-01 11:14:37,0.0,11.84,246,0.16,59.02,983
2026-05-01 12:13:29,0.0,11.8,238,0.16,58.99,985
2026-05-01 13:40:37,0.0,11.88,250,0.16,59.02,989
2026-05-01 14:33:32,0.0,11.79,240,0.16,59.01,991
2026-05-01 15:30:38,0.0,11.77,243,0.16,58.98,993
2026-05-01 16:27:58,0.0,11.72,238,0.16,58.96,995
2026-05-01 17:28:19,0.0,11.72,239,0.16,58.98,997
2026-05-01 19:12:29,0.0,11.75,242,0.16,58.96,1001
2026-05-01 22:28:12,0.0,11.87,237,0.15,58.99,1009
2026-05-02 00:26:15,0.0,12.01,240,0.15,58.99,1014
2026-05-02 02:07:19,0.0,12.02,244,0.15,58.99,1018
2026-05-02 03:19:33,0.0,12.05,240,0.15,58.93,1021
2026-05-02 04:14:09,0.0,12.03,238,0.15,59.01,1023
2026-05-02 05:08:22,0.0,12.16,238,0.15,58.98,1025
2026-05-02 05:56:57,0.0,12.09,243,0.15,58.99,1027
2026-05-02 07:15:06,0.0,12.04,241,0.15,58.95,1030
2026-05-02 08:15:48,0.0,12.07,245,0.15,58.98,1033
2026-05-02 09:07:57,0.0,11.97,234,0.15,58.96,1035
2026-05-02 09:59:39,0.0,11.96,244,0.16,59.01,1037
2026-05-02 11:00:16,0.0,12.01,232,0.15,58.99,1039
2026-05-02 11:53:48,0.0,12.01,239,0.15,58.98,1041
2026-05-02 12:45:43,0.0,12.11,249,0.15,58.95,1043
2026-05-02 13:43:53,0.0,11.95,243,0.16,58.95,1046
2026-05-02 14:26:15,0.0,11.89,245,0.16,58.95,1047
2026-05-02 15:08:19,0.0,11.89,252,0.16,58.93,1049
2026-05-02 15:57:36,0.0,11.84,240,0.16,58.95,1050
2026-05-02 16:47:20,0.0,11.85,238,0.15,58.92,1052
2026-05-02 17:30:26,0.0,11.87,239,0.15,58.98,1054
2026-05-02 18:11:10,0.0,11.96,237,0.15,59.01,1056
2026-05-02 22:11:41,0.0,12.08,238,0.15,59.02,1065
2026-05-03 00:40:56,0.0,12.2,241,0.15,58.98,1071
2026-05-03 02:25:54,0.0,12.21,239,0.15,58.93,1075
2026-05-03 03:47:35,0.0,12.2,245,0.15,58.95,1078
2026-05-03 04:40:23,0.0,12.1,245,0.15,58.96,1080
2026-05-03 05:27:16,0.0,12.2,242,0.15,59.01,1082
2026-05-03 06:07:08,0.0,12.23,240,0.15,58.98,1084
2026-05-03 07:45:40,0.0,12.18,241,0.15,58.96,1088
2026-05-03 08:36:50,0.0,12.22,260,0.16,58.93,1090
2026-05-03 09:27:53,0.0,12.14,241,0.15,58.95,1092
2026-05-03 10:10:22,0.0,12.11,243,0.15,58.96,1094
2026-05-03 11:07:38,0.0,12.07,246,0.15,58.99,1096
2026-05-03 12:00:43,0.0,12.03,244,0.15,58.95,1098
2026-05-03 13:12:47,0.0,12.11,237,0.15,59.01,1101
2026-05-03 14:00:35,0.0,12.06,238,0.15,58.98,1103
2026-05-03 14:56:41,0.0,12.03,245,0.15,58.95,1105
2026-05-03 15:42:22,0.0,12.02,245,0.15,58.95,1107
2026-05-03 16:24:46,0.0,11.93,245,0.16,58.95,1109
2026-05-03 17:09:56,0.0,11.88,240,0.15,59.01,1111
2026-05-03 18:02:45,0.0,11.81,239,0.16,58.99,1113
2026-05-03 22:03:01,0.0,16.47,941,0.45,58.93,1130
2026-05-04 00:49:21,0.0,12.13,232,0.15,58.99,1139
2026-05-04 03:09:05,0.0,12.24,243,0.15,59.01,1143
2026-05-04 05:17:05,0.0,12.29,244,0.15,58.99,1149
2026-05-04 06:59:14,0.0,18.72,1038,0.43,58.96,1157
2026-05-04 09:12:55,0.0,22.08,1486,0.53,58.96,1186
2026-05-04 11:02:39,0.0,15.67,787,0.4,58.96,1204
2026-05-04 12:25:24,0.0,16.19,851,0.41,59.02,1216
2026-05-04 14:02:04,0.0,19.96,1201,0.48,59.02,1231
2026-05-04 15:16:51,0.0,20.6,1287,0.5,58.95,1246
2026-05-04 16:16:47,0.0,21.55,1386,0.52,58.99,1259
2026-05-04 17:13:25,0.0,12.17,311,0.2,58.98,1266
2026-05-04 18:10:00,0.0,12.35,319,0.21,58.96,1268
2026-05-04 21:49:49,0.0,13.23,479,0.28,58.98,1283
2026-05-05 00:07:51,0.0,12.37,313,0.2,59.01,1293
2026-05-05 02:26:36,0.0,12.57,321,0.19,59.02,1301
