timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_reverse_Wh,direction
2026-04-30 14:09:56,130.9,2.914,266.0,0.69,58.87,12674,8296,REVERSE
2026-04-30 14:45:04,131.0,4.554,484.4,0.81,58.87,12674,8316,REVERSE
2026-04-30 15:41:58,130.1,8.43,888.6,0.8,58.84,12685,8343,FORWARD
2026-04-30 16:36:24,130.3,5.007,233.3,0.35,58.81,12701,8352,FORWARD
2026-04-30 17:33:24,131.6,4.791,210.2,0.33,58.79,12703,8367,REVERSE
2026-04-30 19:24:38,132.9,8.012,787.3,0.73,58.84,12750,8383,FORWARD
2026-04-30 23:04:16,133.8,10.684,1234.3,0.86,58.84,13052,8383,FORWARD
2026-05-01 01:33:57,134.6,7.714,956.7,0.91,58.87,13284,8383,FORWARD
2026-05-01 03:19:04,135.0,5.826,700.3,0.88,58.85,13428,8383,FORWARD
2026-05-01 04:48:50,135.4,4.907,629.5,0.94,58.85,13526,8383,FORWARD
2026-05-01 05:46:54,135.8,2.391,262.1,0.8,58.84,13555,8383,FORWARD
