latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,646641;-100,288357;30/4/2026 14:09;30;4;2026;14;9;128,4;2,252;231,7;0,8;59,18;169305;126;0,043;4,1;0,75;59,15;26313
25,646641;-100,288357;30/4/2026 14:45;30;4;2026;14;45;129,1;3,618;465,8;0,99;59,2;169328;126,5;0,042;4,1;0,75;59,13;26313
25,646641;-100,288357;30/4/2026 15:41;30;4;2026;15;41;127,1;9,428;1045,1;0,87;59,15;169395;125,4;7,72;853,8;0,88;59,15;26363
25,646641;-100,288357;30/4/2026 16:36;30;4;2026;16;36;128,3;2,608;288,1;0,86;59,13;169478;125,4;0,045;4,2;0,74;59,12;26426
25,646641;-100,288357;30/4/2026 17:33;30;4;2026;17;33;127,2;2,334;252,8;0,85;59,1;169503;128,5;0,043;4,1;0,74;59,12;26426
25,646641;-100,288357;30/4/2026 19:24;30;4;2026;19;24;130,3;2,429;255,1;0,8;59,15;169552;125,6;0,153;10,4;0,54;59,13;26443
25,646641;-100,288357;30/4/2026 23:04;30;4;2026;23;4;129,5;8,624;1015,1;0,9;59,12;169817;127,3;6,464;708,3;0,86;59,13;26600
25,646641;-100,288357;1/5/2026 1:33;1;5;2026;1;33;131,2;9,557;1156,3;0,92;59,18;170041;128,2;6,385;701,2;0,85;59,18;26719
25,646641;-100,288357;1/5/2026 3:19;1;5;2026;3;19;132;3,861;462,9;0,9;59,15;170179;128,8;0,339;26,4;0,6;59,18;26775
25,646641;-100,288357;1/5/2026 4:48;1;5;2026;4;48;133,3;9,06;1123,2;0,93;59,13;170287;130,1;6,242;686,3;0,84;59,15;26817
25,646641;-100,288357;1/5/2026 5:46;1;5;2026;5;46;133,8;3,019;356,8;0,88;59,12;170367;132,4;0,338;26,4;0,58;59,13;26861
25,646641;-100,288357;1/5/2026 6:44;1;5;2026;6;44;135,4;3,221;381,6;0,87;59,12;170435;131,4;0,339;26,1;0,58;59,16;26884
25,646641;-100,288357;1/5/2026 8:08;1;5;2026;8;8;134,7;2,669;316,5;0,88;59,12;170503;133;0,043;4,3;0,74;59,15;26904
25,646641;-100,288357;1/5/2026 9:14;1;5;2026;9;14;134,8;2,648;315;0,88;59,15;170538;134,1;0,043;4,3;0,74;59,13;26905
25,646641;-100,288357;1/5/2026 10:12;1;5;2026;10;12;136;2,583;316,9;0,9;59,12;170565;134;0,043;4,3;0,74;59,13;26905
25,646641;-100,288357;1/5/2026 11:14;1;5;2026;11;14;134,9;2,227;265,9;0,88;59,15;170596;134,5;0,044;4,5;0,76;59,16;26906
25,646641;-100,288357;1/5/2026 12:13;1;5;2026;12;13;136,1;2,29;278,4;0,89;59,15;170663;131,4;0,043;4,3;0,75;59,18;26943
25,646641;-100,288357;1/5/2026 13:40;1;5;2026;13;40;133,5;1,718;224,4;0,97;59,16;170702;135,6;0,042;4,3;0,75;59,16;26944
25,646641;-100,288357;1/5/2026 14:33;1;5;2026;14;33;133,3;1,91;192,4;0,75;59,15;170720;131,9;0,044;4,3;0,74;59,15;26944
25,646641;-100,288357;1/5/2026 15:30;1;5;2026;15;30;133,1;1,756;187,9;0,8;59,12;170737;134,1;0,044;4,5;0,75;59,13;26945
25,646641;-100,288357;1/5/2026 16:27;1;5;2026;16;27;133,2;2,872;344,9;0,9;59,1;170760;130,5;0,044;4,2;0,73;59,12;26945
25,646641;-100,288357;1/5/2026 17:28;1;5;2026;17;28;132,7;3,881;478,6;0,92;59,13;170795;129,9;0,043;4,2;0,74;59,15;26946
25,646641;-100,288357;1/5/2026 19:12;1;5;2026;19;12;133,6;7,748;955,8;0,92;59,1;170882;133,3;5,147;585,7;0,85;59,13;26971
25,646641;-100,288357;1/5/2026 22:28;1;5;2026;22;28;135,1;4,765;626,3;0,97;59,13;171107;133,7;0,043;4,4;0,75;59,16;27026
25,646641;-100,288357;2/5/2026 0:26;2;5;2026;0;26;136,7;3,852;471,6;0,89;59,1;171257;134,9;0,043;4,3;0,75;59,13;27033
25,646641;-100,288357;2/5/2026 2:07;2;5;2026;2;7;137;2,96;360,4;0,88;59,12;171332;135,8;0,043;4,4;0,75;59,15;27033
25,646641;-100,288357;2/5/2026 3:19;2;5;2026;3;19;137,2;2,679;329,9;0,89;59,09;171369;136,3;0,043;4,4;0,74;59,1;27034
25,646641;-100,288357;2/5/2026 4:14;2;5;2026;4;14;138,8;2,652;330,9;0,89;59,12;171402;136,8;0,043;4,5;0,76;59,15;27034
25,646641;-100,288357;2/5/2026 5:08;2;5;2026;5;8;138,3;2,767;348,6;0,91;59,09;171432;138,1;0,043;4,4;0,74;59,13;27035
25,646641;-100,288357;2/5/2026 5:56;2;5;2026;5;56;138,2;2,6;325;0,9;59,12;171459;136,7;0,043;4,4;0,74;59,13;27035
25,646641;-100,288357;2/5/2026 7:15;2;5;2026;7;15;137,7;2,591;330,7;0,92;59,06;171503;138,2;0,042;4,4;0,74;59,12;27036
25,646641;-100,288357;2/5/2026 8:15;2;5;2026;8;15;138,5;2,524;316,2;0,9;59,09;171536;137,7;0,043;4,4;0,74;59,13;27036
25,646641;-100,288357;2/5/2026 9:07;2;5;2026;9;7;136,9;2,527;303,8;0,87;59,09;171562;134,6;0,046;4,4;0,72;59,13;27036
25,646641;-100,288357;2/5/2026 9:59;2;5;2026;9;59;136,9;1,957;255;0,95;59,12;171591;136,7;0,044;4,4;0,74;59,16;27037
25,646641;-100,288357;2/5/2026 11:00;2;5;2026;11;0;138,1;2,261;276,9;0,88;59,13;171615;138;0,044;4,5;0,74;59,16;27037
25,646641;-100,288357;2/5/2026 11:53;2;5;2026;11;53;137,9;1,439;151,8;0,76;59,13;171631;137,1;0,045;4,6;0,74;59,15;27038
25,646641;-100,288357;2/5/2026 12:45;2;5;2026;12;45;135,9;7,859;1067,9;0,99;59,12;171665;137,6;0,043;4,5;0,75;59,13;27038
25,646641;-100,288357;2/5/2026 13:43;2;5;2026;13;43;138,9;2,084;221,5;0,76;59,1;171694;138,8;0,043;4,5;0,74;59,12;27038
25,646641;-100,288357;2/5/2026 14:26;2;5;2026;14;26;138,1;1,671;168,6;0,73;59,09;171713;136,1;0,043;4,4;0,74;59,12;27039
25,646641;-100,288357;2/5/2026 15:08;2;5;2026;15;8;138,2;1,296;131,2;0,73;59,1;171722;136,2;0,043;4,4;0,75;59,1;27039
25,646641;-100,288357;2/5/2026 15:57;2;5;2026;15;57;137,4;2,486;298,9;0,87;59,12;171745;135,3;0,045;4,5;0,74;59,12;27039
25,646641;-100,288357;2/5/2026 16:47;2;5;2026;16;47;134,1;3,602;448,4;0,92;59,06;171776;135,1;0,044;4,4;0,74;59,1;27040
25,646641;-100,288357;2/5/2026 17:30;2;5;2026;17;30;132,4;3,634;429,5;0,89;59,12;171821;132,6;0,045;4,2;0,69;59,13;27040
25,646641;-100,288357;2/5/2026 18:11;2;5;2026;18;11;135,8;3,382;423,9;0,92;59,15;171851;135,1;0,044;4,4;0,74;59,16;27040
25,646641;-100,288357;2/5/2026 22:11;2;5;2026;22;11;138,9;2,588;327,1;0,9;59,13;171958;135,6;0,044;4,4;0,73;59,18;27066
25,646641;-100,288357;3/5/2026 0:40;3;5;2026;0;40;139,7;1,964;256,7;0,93;59,12;172045;135,3;0,353;27,5;0,57;59,16;27079
25,646641;-100,288357;3/5/2026 2:25;3;5;2026;2;25;139,6;2,261;281,5;0,89;59,07;172109;136,8;0,044;4,5;0,74;59,09;27092
25,646641;-100,288357;3/5/2026 3:47;3;5;2026;3;47;138,6;2,43;305,6;0,9;59,06;172146;137,3;0,044;4,5;0,74;59,1;27093
25,646641;-100,288357;3/5/2026 4:40;3;5;2026;4;40;137,2;5,014;682,1;0,99;59,12;172177;135;0,043;4,3;0,74;59,16;27093
25,646641;-100,288357;3/5/2026 5:27;3;5;2026;5;27;138,3;2,905;356,8;0,88;59,13;172208;137,8;0,043;4,4;0,73;59,16;27093
25,646641;-100,288357;3/5/2026 6:07;3;5;2026;6;7;136,5;2,581;301;0,85;59,09;172229;137,1;0,045;4,5;0,71;59,12;27094
25,646641;-100,288357;3/5/2026 7:45;3;5;2026;7;45;139;1,798;194,3;0,77;59,12;172292;136,6;0,356;29,2;0,6;59,13;27104
25,646641;-100,288357;3/5/2026 8:36;3;5;2026;8;36;139;2,02;246,8;0,87;59,06;172306;138,7;0,043;4,4;0,74;59,1;27105
25,646641;-100,288357;3/5/2026 9:27;3;5;2026;9;27;138,9;2,01;244,3;0,87;59,07;172328;138,4;0,044;4,4;0,72;59,12;27106
25,646641;-100,288357;3/5/2026 10:10;3;5;2026;10;10;137,8;2,509;333,6;0,96;59,13;172346;138,2;0,044;4,6;0,74;59,13;27106
25,646641;-100,288357;3/5/2026 11:07;3;5;2026;11;7;139;2,523;316,1;0,9;59,13;172377;137,6;0,044;4,4;0,72;59,16;27106
25,646641;-100,288357;3/5/2026 12:00;3;5;2026;12;0;139,6;2,456;305,1;0,88;59,1;172404;135,3;0,044;4,4;0,74;59,1;27107
25,646641;-100,288357;3/5/2026 13:12;3;5;2026;13;12;137,3;2,393;289,4;0,88;59,16;172437;138,2;0,043;4,4;0,73;59,16;27107
25,646641;-100,288357;3/5/2026 14:00;3;5;2026;14;0;136,4;2,224;266;0,87;59,15;172462;136,8;0,045;4,5;0,73;59,15;27108
25,646641;-100,288357;3/5/2026 14:56;3;5;2026;14;56;136,3;4,284;575,1;0,98;59,15;172511;136,5;0,045;4,5;0,74;59,1;27108
25,646641;-100,288357;3/5/2026 15:42;3;5;2026;15;42;136;5,136;676,4;0,96;59,15;172569;137,1;0,044;4,7;0,75;59,12;27109
25,646641;-100,288357;3/5/2026 16:24;3;5;2026;16;24;136,3;2,262;268,3;0,87;59,12;172594;135,7;0,044;4,4;0,74;59,12;27109
25,646641;-100,288357;3/5/2026 17:09;3;5;2026;17;9;135;1,338;169,9;0,94;59,16;172612;135,6;0,044;4,5;0,74;59,16;27109
25,646641;-100,288357;3/5/2026 18:02;3;5;2026;18;2;135,2;2,075;245,4;0,87;59,13;172634;134;0,043;4,3;0,74;59,15;27110
25,646641;-100,288357;3/5/2026 22:03;3;5;2026;22;3;134,9;4,893;648,3;0,98;59,07;172794;135,5;0,043;4,4;0,75;59,12;27120
25,646641;-100,288357;4/5/2026 0:49;4;5;2026;0;49;136,4;3,276;407,4;0,91;59,12;172972;136,3;0,309;15,4;0,36;59,16;27165
25,646641;-100,288357;4/5/2026 3:09;4;5;2026;3;9;137,8;2,761;346,2;0,9;59,12;173092;137,3;0,283;11,1;0,28;59,18;27199
25,646641;-100,288357;4/5/2026 5:17;4;5;2026;5;17;136,4;2,675;333,6;0,91;59,1;173174;137,1;0,285;11,7;0,29;59,18;27213
25,646641;-100,288357;4/5/2026 6:59;4;5;2026;6;59;137;1,652;174,1;0,76;59,12;173219;136,1;0,043;4,3;0,72;59,15;27215
25,646641;-100,288357;4/5/2026 9:12;4;5;2026;9;12;136,7;1,419;167,7;0,86;59,12;173279;135,5;0,044;4,4;0,74;59,15;27216
25,646641;-100,288357;4/5/2026 11:02;4;5;2026;11;2;137,4;2,322;260,3;0,81;59,12;173347;136;0,043;4,4;0,74;59,13;27217
25,646641;-100,288357;4/5/2026 12:25;4;5;2026;12;25;135;7,144;870;0,9;59,18;173391;134,7;0,044;4,4;0,74;59,16;27217
25,646641;-100,288357;4/5/2026 14:02;4;5;2026;14;2;135,8;2,534;292,8;0,85;59,18;173463;134,3;0,045;4,5;0,75;59,2;27236
25,646641;-100,288357;4/5/2026 15:16;4;5;2026;15;16;134,3;1,568;156,1;0,74;59,15;173487;132,5;0,043;4,3;0,75;59,12;27236
25,646641;-100,288357;4/5/2026 16:16;4;5;2026;16;16;134,7;2,044;239,3;0,86;59,15;173504;131,3;0,043;4,2;0,74;59,13;27236
25,646641;-100,288357;4/5/2026 17:13;4;5;2026;17;13;134,4;2,077;241,6;0,86;59,15;173524;130,2;0,043;4,2;0,74;59,12;27236
25,646641;-100,288357;4/5/2026 18:10;4;5;2026;18;10;133,1;3,819;499,2;0,98;59,12;173592;131,9;0,044;4,3;0,75;59,12;27237
25,646641;-100,288357;4/5/2026 21:49;4;5;2026;21;49;132,9;3,41;420,5;0,92;59,13;173820;133,3;0,044;4,3;0,74;59,13;27293
25,646641;-100,288357;5/5/2026 0:07;5;5;2026;0;7;135,1;2,758;338,9;0,9;59,18;173937;132,7;0,305;14;0,34;59,16;27323
25,646641;-100,288357;5/5/2026 2:26;5;5;2026;2;26;137;3,277;406,9;0,9;59,15;174052;135;0,043;4,3;0,74;59,18;27361
25,646641;-100,288357;5/5/2026 4:17;5;5;2026;4;17;137,7;2,815;355,1;0,91;59,13;174122;136,1;0,043;4,3;0,73;59,15;27362
25,646641;-100,288357;5/5/2026 5:42;5;5;2026;5;42;137,6;2,694;342,2;0,92;59,15;174167;135,8;0,043;4,3;0,75;59,18;27362
25,646641;-100,288357;5/5/2026 6:57;5;5;2026;6;57;135,7;0,807;97,4;0,88;59,1;174207;134,1;0,043;4,3;0,74;59,13;27363
25,646641;-100,288357;5/5/2026 10:55;5;5;2026;10;55;134,3;1,587;171,6;0,8;59,16;174309;134,2;0,043;4,3;0,75;59,18;27365
25,646641;-100,288357;5/5/2026 12:07;5;5;2026;12;7;132,8;3,555;291,6;0,61;59,16;174347;130,7;0,045;4,3;0,73;59,12;27365
25,646641;-100,288357;5/5/2026 13:51;5;5;2026;13;51;133,1;2,306;232,6;0,75;59,21;174417;132,5;0,043;4,4;0,76;59,18;27366
25,646641;-100,288357;5/5/2026 14:49;5;5;2026;14;49;130,9;2,502;262,5;0,8;59,18;174446;130,6;0,044;4,3;0,75;59,12;27367
25,646641;-100,288357;5/5/2026 15:47;5;5;2026;15;47;130,5;2,158;219,8;0,77;59,21;174470;130,5;0,044;4,3;0,74;59,16;27367
25,646641;-100,288357;5/5/2026 16:41;5;5;2026;16;41;127,7;1,986;206,5;0,81;59,23;174487;127,5;0,043;4,1;0,74;59,18;27367
25,646641;-100,288357;5/5/2026 17:32;5;5;2026;17;32;123,9;3,274;322,8;0,79;59,2;174507;126,8;0,043;4,1;0,75;59,13;27368
25,646641;-100,288357;5/5/2026 19:14;5;5;2026;19;14;126,5;2,243;244,7;0,86;59,16;174547;126,9;0,044;4,2;0,74;59,13;27368
