timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,121.5,2.52,216,0.7,59.18,42671
2026-04-30 14:45:04,122.0,2.52,214,0.69,59.16,42689
2026-04-30 15:41:58,120.8,45.98,5341,0.96,59.15,42714
2026-04-30 16:36:24,121.2,2.52,213,0.69,59.15,42743
2026-04-30 17:33:24,121.9,44.87,5216,0.95,59.13,42763
2026-04-30 19:24:38,122.8,3.23,333,0.83,59.16,42815
2026-04-30 23:04:16,124.7,49.95,6126,0.98,59.18,42971
2026-05-01 01:33:57,126.1,45.69,5607,0.97,59.2,43118
2026-05-01 03:19:04,126.6,88.64,10677,0.95,59.21,43235
2026-05-01 04:48:50,126.0,88.18,10464,0.94,59.18,43370
2026-05-01 05:46:54,127.1,44.23,5361,0.95,59.18,43427
2026-05-01 06:44:29,126.3,43.64,5277,0.95,59.16,43493
