timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh
2026-04-30 14:09:56,120.4,1.35,123,0.75,58.96,58028
2026-04-30 14:45:04,119.8,1.34,121,0.75,58.96,58050
2026-04-30 15:41:58,119.4,54.09,6218,0.96,58.93,58082
2026-04-30 16:36:24,120.5,1.32,119,0.74,58.9,58116
2026-04-30 17:33:24,120.1,54.79,6312,0.95,58.88,58141
2026-04-30 19:24:38,121.6,18.43,2089,0.93,58.93,58212
2026-04-30 23:04:16,122.9,54.54,6569,0.97,58.93,58401
2026-05-01 01:33:57,123.9,55.82,6769,0.97,58.96,58563
2026-05-01 03:19:04,123.2,89.59,10692,0.96,58.98,58692
2026-05-01 04:48:50,125.1,0.0,0,1.0,58.95,58834
2026-05-01 05:46:54,125.3,43.8,5298,0.96,58.93,58897
